"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAD1L1",7.25630882822346,10.2614421327064,22.0494228792594,2.33781278541687e-28,1.43998693594394e-24,54.148480158976
"PPP1R1A",-6.00930957357097,4.74600365528184,-21.9188833477204,3.10582111631022e-28,1.43998693594394e-24,53.8738826005343
"STIP1",3.17983864583639,9.28480295112575,21.8892799630636,3.31310745289655e-28,1.43998693594394e-24,53.8114075949951
"CDC37",4.11681281800432,9.35685751198002,19.5293155337818,7.25063402255882e-26,2.36352542550361e-22,48.5775630226265
"SCGB1D2",-8.99506402405481,6.19260313234513,-19.3153498340488,1.21113996834288e-25,3.15841080944456e-22,48.0769888940913
"CDK5",4.18797071865479,8.80298535173793,19.1858148798043,1.65576314906373e-25,3.59824928344034e-22,47.7717231656904
"EIF4A1",2.44878262999154,13.0163279853036,18.8257994448046,3.98191480205625e-25,7.41716958628734e-22,46.9143948258734
"SCGB2A1",-6.10198427146645,4.21375672743871,-18.1946575781724,1.91188062743143e-24,3.1161264376348e-21,45.3791143234804
"SERPINE2",3.42206319157357,13.1502004785693,17.684776154702,6.99270465807164e-24,1.01308751151773e-20,44.107894131084
"FABP4",-6.68868470423615,8.41477537604013,-17.4747810881382,1.202236304621e-23,1.56759591759532e-20,43.5761040073568
"HMG20B",2.87874519336853,10.2400644742055,17.4327720261099,1.34063785685091e-23,1.58914336504354e-20,43.4691355611884
"PMEL",5.71470162177521,14.005947034822,17.2280281496133,2.28617947673663e-23,2.31861237813045e-20,42.9449775614868
"NFIB",-3.09230995391902,8.3605467250399,-17.2237915520153,2.31167734609217e-23,2.31861237813045e-20,42.9340820344478
"RBP4",-5.34665313289959,4.75779227413146,-16.9302462937547,5.00865150815407e-23,4.6648433582015e-20,42.174216362564
"UBE2S",5.90956383364025,10.6710521612933,16.8270154813786,6.58828817826602e-23,5.7269793037607e-20,41.9046653389594
"C1orf116",-4.63249712399486,5.10679826229545,-16.5561110883457,1.36022121886259e-22,1.10849527954683e-19,41.1914611066769
"POLR2J",3.61545629698703,11.2808709027574,16.2048567386183,3.52453878868696e-22,2.7033212509229e-19,40.2539884325011
"MRTFB",-2.03451672340673,9.48067181916258,-16.1783751195001,3.78896407221352e-22,2.74468347431067e-19,40.1827216962363
"FHL1",-3.79828109830217,8.51535364896665,-16.1342118931295,4.27556174510248e-22,2.93416050496796e-19,40.0636855699624
"PHACTR1",6.17626899376076,9.86866838268443,16.0597651313778,5.24403066482602e-22,3.41884579193333e-19,39.8624992180139
"TCF7L2",-2.05463489991603,8.93443047813812,-15.9607152975096,6.88758671880217e-22,4.21727388836444e-19,39.593799790351
"CYBA",4.03856437507994,11.1220053129911,15.9489109754815,7.11557830692674e-22,4.21727388836444e-19,39.5616990766166
"PPIB",2.48224279881176,12.1576701806612,15.9318413768276,7.4588880328442e-22,4.22854091566328e-19,39.5152503992518
"BCL2A1",3.63516238161606,9.86663519711528,15.8815733981999,8.57081747126879e-22,4.6564537086614e-19,39.3782612429394
"ACOT7",2.4584122617298,10.4590972608074,15.7930940184312,1.09534570718391e-21,5.7072081277187e-19,39.1364004230478
