"Gene","Module","GS","MM.MEturquoise","MM.MEblack","MM.MEpink","MM.MEbrown","MM.MEyellow","MM.MEblue","MM.MEred","MM.MEgreen","MM.MEmagenta","MM.MEgrey"
"DDR1","grey",-0.208852244565014,0.273673517810438,0.034140286209151,0.0838232055955629,-0.218242966669824,-0.273467417437186,0.212205122354003,0.0949990396021568,-0.0664700440826844,0.0207257606182519,0.0982202268193885
"RFC2","brown",0.818040258758616,-0.826892665675949,-0.0787635755925246,0.317873977098963,0.885423373293091,0.517710064725367,-0.649541735199473,-0.0758092555701765,-0.310881779330602,-0.516445902745757,-0.0222417521748105
"HSPA6","grey",0.254514302345517,-0.172240841236463,0.205477212331282,0.16053953501503,0.211913833123644,-0.00824734381105276,-0.157631832188966,0.026246464540302,-0.223701177027601,-0.121481840193616,0.0200231861011021
"PAX8","blue",-0.199020210393396,0.208743337704388,0.0480030775835361,-0.157177606455538,-0.169160210673615,-0.0825576413706009,0.624982570035968,0.496809198651447,0.141695481655666,-0.133071456809052,0.5962500084247
"GUCA1A","turquoise",-0.496468261715621,0.539646434843135,0.0085312876490404,-0.167263481057276,-0.479883569082322,-0.357697913727235,0.483296122634411,0.047053544276277,0.0910101153904856,0.112736616321625,0.252468519529356
"UBA7","turquoise",-0.293411019009451,0.356096257324269,0.378399314040351,0.00668661775620144,-0.326260506935457,-0.344869014685945,-0.0295756963067249,-0.231387598801315,-0.0768165501380403,0.121771128903988,-0.119561802451893
"THRA","yellow",0.155079677588169,-0.413818791187464,-0.680493062583246,-0.657029548464876,0.235189905634536,0.724984075969805,0.346843014180879,0.519582477248859,0.757571857601143,0.213897746065131,0.155610871358371
"PTPN21","turquoise",-0.360148227337648,0.382682209080406,0.085571683800447,-0.0606193111138097,-0.334506469358696,-0.280936546733649,0.472571019918194,0.252070443955866,0.0521987959336894,-0.0590445771638461,0.363982171096875
"CCL5","black",-0.0661636561365079,0.31565421553686,0.786675022377465,0.401888475478056,-0.170857996096744,-0.536041085656987,-0.193989410746721,-0.264115750316924,-0.522998199533567,-0.241337928389526,0.0600523985594816
"CYP2E1","blue",-0.628396331404215,0.62323013053099,0.0629793250656971,-0.211286855560069,-0.630488521090151,-0.351194207211268,0.743925807437997,0.400211317254712,0.291403012840046,0.273489159391671,0.282566541289252
"EPHB3","turquoise",-0.617681060906718,0.76986347306526,0.314929776861148,0.0664790359114968,-0.657565499877543,-0.70069696912111,0.43181409056992,-0.0370375782095423,-0.159929092607861,0.0824223274631962,0.206096308624077
"ESRRA","yellow",0.501204803514582,-0.725645142307113,-0.597024534697614,-0.485747900592286,0.650074227728394,0.85635497908812,-0.0490338355716664,0.361723338181732,0.493057743214876,-0.0971872264590712,0.169403062966122
"CYP2A6","blue",-0.39443276855255,0.298561828367303,-0.291526500613176,-0.564610145807979,-0.335606811171,0.0539881129910879,0.722232992676829,0.386245530980586,0.507297527995386,0.337751372497107,0.320668158629042
"GAS6","green",-0.306890637592533,0.0959281355861523,-0.469711793442204,-0.812445954657147,-0.266883140645971,0.356516014621067,0.493374608802285,0.320679857934645,0.816112028900795,0.449931424094898,0.0511163433925496
"MMP14","brown",0.742535649219495,-0.656029988060419,0.0120538322973847,0.0890899159744491,0.724825579080405,0.429571702608487,-0.469078089097407,-0.0463559852683169,-0.232978872397919,-0.402558688189478,0.105146322475536
"TRADD","green",-0.0203326564382346,-0.197651585162788,-0.374608957898411,-0.515018547008884,0.0607607945545166,0.455325138847811,0.303113222704663,0.455750073999234,0.616974729901275,0.0803204425298323,0.20633413468843
