"Gene","Module","GS","MM.MEbrown","MM.MEpink","MM.MEblack","MM.MEgreenyellow","MM.MEpurple","MM.MEsalmon","MM.MEmagenta","MM.MEcyan","MM.MEred","MM.MEturquoise","MM.MEyellow","MM.MEgreen","MM.MEblue","MM.MEtan","MM.MEgrey"
"DDR1","blue",-0.297206992048829,-0.251918055039766,-0.293041885082659,-0.504790118445767,-0.176445391501238,0.188714348395838,0.113371591353373,0.411032412532419,0.276561579292152,0.0736888194640136,-0.248665403633514,-0.230295590348428,-0.257678582455264,0.497402846623107,0.115451811533027,0.313416241380471
"RFC2","greenyellow",0.0772373970430849,0.371662183866044,0.0114107592651276,0.510519998626228,0.521115055396391,0.211576457345334,-0.0324067006884601,0.176079186388675,0.126041984582488,0.522697364900012,-0.160580087091409,-0.238288440787953,-0.098396279483917,-0.361160779879728,-0.373193556067813,-0.282217804443148
"HSPA6","yellow",0.105594912037206,0.0394080032955314,0.157650616057111,0.173018204892618,0.407859348872527,-0.173891038557429,-0.24904074478801,-0.344784985692776,-0.251118513629994,-0.208468631038678,0.222802565816429,0.338136156992006,-0.0242248059505596,-0.207631444075124,-0.0982481159031031,-0.291134440058111
"PAX8","turquoise",0.151044255717582,-0.545675633719562,-0.344028005477138,-0.163323861852462,-0.125066501231814,-0.218119354096425,-0.24519612668147,-0.272340015659263,-0.507896288629596,-0.505363508154338,0.772272807523606,0.128740169056901,0.195798563705757,0.0699212210218815,0.660892829891744,-0.0001804410330028
"GUCA1A","turquoise",0.175700125260416,-0.273103681523385,0.069265340776605,0.0792901729317724,0.00770065389503943,-0.19888293602125,-0.012959577302406,-0.602787607513472,-0.726998439293957,-0.611384786397961,0.781506577677233,0.44583353535026,-0.0611920264023558,-0.148894695730654,0.317986802551219,0.000802643488204411
"UBA7","green",0.096632930070492,-0.15321760178611,0.0513778117763743,-0.0995988907553571,-0.310668595528277,-0.236081941189377,-0.122757765293929,-0.203058097178833,-0.055192439086821,-0.291569055007257,0.172403546397033,0.20783202005059,0.63668638590372,-0.10997352348798,0.249476172319856,-0.0431505584512792
"THRA","turquoise",-0.110863301557687,-0.470412036916539,-0.209010960853576,-0.274291036877407,-0.188532125805694,-0.281345537159315,-0.182606405508298,-0.32884498780998,-0.411347241494494,-0.521658610701249,0.625428451581901,0.172730864164134,0.0232189755863583,0.226689801312528,0.56260141365352,-0.0691670966982692
"PTPN21","blue",-0.60351477169537,-0.310770462795783,-0.180312105665713,-0.406037204056423,-0.184909223392587,-0.174012585173027,-0.10513617041473,-0.0286754124626793,-0.0250167427969761,-0.228869962349161,0.168651636649621,0.0463492026399056,-0.320638944556713,0.501215681688431,0.250919653055031,0.0452067449187599
"CCL5","green",0.306408833110268,-0.141328277465945,-0.139270179642782,-0.126502901400394,-0.305981068577824,-0.0893902446139545,-0.100412733199175,0.0624050291509866,0.159839187689939,-0.0915865842044433,-0.0890197708643543,-0.144844070602311,0.792261416782698,0.0236609851538814,0.190256312204079,-0.050065161732565
"CYP2E1","turquoise",-0.279055583894577,-0.480513703661089,-0.0755899174956809,-0.340890838513447,-0.406291276170516,-0.623811010862151,-0.4578165468662,-0.500165912749664,-0.348616984873028,-0.67823068507674,0.65230704149703,0.372701387237448,0.179467938852776,0.364396005628603,0.630895163318557,-0.122155546619237
"EPHB3","blue",-0.42833927292449,-0.378137549373614,-0.167975556094313,-0.356172647859507,-0.0489715916198751,-0.426119776659169,-0.447994144870648,-0.244168098669411,-0.174794425814752,-0.375794069703991,0.313208207712135,0.137169892243543,-0.23426395507932,0.451454379402327,0.419176355779175,-0.175921358768351
"ESRRA","grey",-0.0275844108263892,-0.398036118297049,-0.292989832369613,-0.235256169935417,-0.29601140967708,0.04136587934965,0.0283479018909225,0.131642949581309,-0.194564528176854,-0.27579593437693,0.218903955258882,-0.0322435601022584,0.0146813694027872,0.284635720414226,0.408442510729511,0.479266508535237
"CYP2A6","turquoise",0.183084014927493,-0.31370021675689,0.0486711430182685,-0.0248329396455424,-0.0861572310922588,-0.192888975916709,-0.00452670442575563,-0.523531714188057,-0.640182055766172,-0.592834887536166,0.844828522477186,0.474776628426074,0.0128633865358089,-0.0846232585682179,0.453945605675798,0.00840582604425658
"GAS6","blue",-0.508305219965815,-0.546753436610786,-0.396412141231154,-0.726329495754741,-0.669577425335219,-0.390093656621183,-0.381128770557294,0.18301233297133,0.29401708804241,-0.29585926140929,-0.0385534526103392,-0.184374954218306,0.233895777296829,0.833680108098341,0.618259034566836,0.114071838713117
"MMP14","turquoise",0.189890981760697,-0.33303713278768,-0.347227506700872,-0.0248559670684252,0.168709313529316,0.345753926336994,0.217103237726857,0.111902248367816,-0.372205726164736,-0.161679819068668,0.452482980919244,-0.0827142148679093,-0.0963121701578925,-0.0255824276708473,0.27429877495193,0.15484321086053
"TRADD","blue",-0.332734008495362,-0.397401764676458,-0.342873331858047,-0.501156296482323,-0.482108285383063,-0.194563995843682,-0.275512155338381,0.235206436372795,0.306177810097596,-0.115006557624902,-0.12469481629458,-0.235808500308679,0.37182293874307,0.537201222514341,0.406159118477966,0.0835247749018257
"FNTB","grey",0.0564199004985705,0.0818158962454684,-0.139146792746998,0.322681297530046,0.464200222131643,0.187746805972948,0.00760477809526558,-0.0310619189746632,-0.145795474299026,0.218195749743903,0.250299292813816,-0.118909960150773,-0.0282379931136685,-0.392303474604799,-0.13586844008053,-0.317429284281574
"PLD1","blue",-0.545932136694415,-0.275142172203,-0.31670842976142,-0.422720290316375,-0.440296235394003,-0.0823090706285022,-0.202025148773914,0.372613025426743,0.377605270890503,0.08375520229843,-0.20051673774048,-0.277138911432684,0.0532537257891555,0.537486780472783,0.283189096772443,0.149962099835951
"DTX2P1-UPK3BP1-PMS2P11","turquoise",0.282315316234905,-0.0859967263058191,0.249302417120633,0.209034844892961,0.229064826336229,-0.172827556076213,-0.0322196675506886,-0.605954062594449,-0.670552927686711,-0.486666154604397,0.720612331925822,0.619784453307861,-0.0457110235906038,-0.325597643594144,0.166369610298124,-0.137130641900988
"BAD","blue",-0.141501972915838,-0.302226687008883,-0.49244351453773,-0.342816605958571,-0.0952935686168142,0.0702664472716165,-0.199288111821422,0.564375182655697,0.308157665325634,0.148675183231285,-0.256211268060415,-0.4561780156147,0.0551902731185261,0.380698239295829,0.199202254804861,0.228903303671505
