"Gene","Module","GS","MM.MEcyan","MM.MEsalmon","MM.MEblue","MM.MEbrown","MM.MEpink","MM.MEyellow","MM.MEmidnightblue","MM.MEblack","MM.MEgreen","MM.MEpurple","MM.MEgrey60","MM.MEturquoise","MM.MEred","MM.MEtan","MM.MEmagenta","MM.MEgreenyellow","MM.MElightcyan","MM.MEgrey"
"DDR1","turquoise",-0.287221079129565,-0.167067060100517,0.0727162094371084,0.164107821838747,-0.327597364513677,-0.12651406704234,-0.241254743713712,0.147228861273421,-0.262804323838438,-0.239418858260559,-0.228638668185598,0.381778921293901,0.467718416954276,0.200430201559762,0.203244858913863,-0.129168547076562,-0.143274503212462,-0.0115411140329768,-0.0779664971431443
"RFC2","turquoise",0.0204992690287006,-0.398177999789203,-0.291498928832023,-0.27740027362553,-0.328247744897642,-0.457434721714785,0.11175050065962,0.390183719361829,-0.450129122697017,-0.15211355520842,-0.391255064959151,0.511124957043941,0.794167904223289,0.605703225301163,0.607455238814634,-0.361995361863693,0.0132842969583192,0.145119483935084,-0.354746896248293
"HSPA6","red",0.356953668172818,0.258902229481068,0.195079859927064,-0.285981649459146,0.0204873208141862,-0.0345656457119782,0.0967139941202901,0.138665909809274,0.0987649564088347,0.0140021149272362,-0.319566665517963,0.298313901116936,0.195109294809725,0.384416870301843,-0.0184533787427335,-0.201475241200123,-0.11374423238571,-0.463850237224008,0.174044129642297
"PAX8","brown",-0.00898886705797124,0.256383607958792,0.167920373721503,0.062409765311169,0.538070461110727,0.305639366668919,-0.4193823415002,-0.517209680146617,-0.381722066236087,-0.658327325276494,-0.518756560614403,-0.0250473590674623,0.207683656211558,0.168932519681488,0.137139558346086,0.123199692671706,0.153735751646911,0.00953938345178685,0.664410197443215
"GUCA1A","brown",0.0660392024110733,0.273918536178681,-0.00808505042746285,0.0172913111841747,0.30515707958287,0.194112445664317,-0.119675030913742,-0.218205683729986,-0.0869092820050598,-0.234748704447063,-0.207087803714564,-0.202587450822248,0.112878285142296,0.0971599095213578,0.0818392292720573,0.107819937499671,0.221870569675672,-0.0384361014105349,0.290909527858283
"UBA7","brown",0.0131151076815983,-0.162343374867607,0.231717527445132,0.162786821795396,0.69467441062766,0.513175309387898,-0.538019502766698,0.03215570253737,-0.0956953061354913,-0.413109447940034,-0.133799198056346,0.0131256949318436,0.384062381582343,-0.137856818562824,0.00411593372241304,-0.249572975882028,-0.160502113994473,-0.0910275934177635,-0.0559134235216438
"THRA","grey",-0.138080071804517,0.0906485347537081,-0.292011146400214,0.179673055194518,0.0691389255738059,0.0280410246000988,-0.0938437094530355,-0.501765523681846,-0.513931676943942,-0.456551774224458,-0.315043214253632,-0.264256965536851,0.126241417708517,0.180356022414957,0.40680310932258,0.483936974660688,0.498804969552168,0.492083031003079,0.366656563078463
"PTPN21","blue",-0.368283171361328,0.172092866785893,0.239984364094125,0.610996557318351,-0.298532589030118,0.173943389610773,-0.302543629497357,-0.0801277558369812,0.0818737845222587,-0.0667039083117392,0.234423250009947,-0.31487545636326,-0.106832151490765,-0.40787095248672,-0.297686831392242,0.184493361801577,-0.195368643484692,0.0797833354166873,-0.0922188411558716
"CCL5","brown",0.35806689129343,0.0972848437643702,0.0555987490463124,-0.0176784292833149,0.869389232690206,0.45444529110898,-0.16021641276198,-0.289650395412482,0.0714294167538441,-0.154390998626803,-0.00305240419084993,-0.262893864826934,-0.160215931411635,-0.202912192667523,-0.106205013064399,0.076683316922632,0.0699431620067385,-0.054891558050185,0.229738234839306
"CYP2E1","blue",-0.316342602333335,0.414644394144681,0.533514154020652,0.826549365798805,0.0714743172665616,0.58341864912672,-0.626723234052057,-0.304176454054202,0.0941229480150904,-0.301630049787568,0.156716853637629,-0.502104024433013,-0.20416016840527,-0.640071891072961,-0.52466920584276,0.295143456791717,-0.356038857285962,-0.0274743784137846,0.134978214599701
"EPHB3","salmon",-0.239838929758398,0.203282206624702,0.708864913184145,0.425358625179342,-0.124573567295888,0.314067467961607,-0.540446931163069,0.203807227768402,0.0713794122559111,-0.245101299938903,-0.142484926729293,0.185538959421049,0.229158471013795,-0.19026760073154,-0.415346662634843,-0.172350267154506,-0.677837452718427,-0.430212411768275,-0.0235813059165773
"ESRRA","grey",-0.290855219343575,-0.139781500095141,-0.272700029956476,0.243031380487505,-0.0874709263653484,-0.0993220916843618,-0.180357340937532,-0.291630016099423,-0.53476628488424,-0.361051077285168,-0.121725319226409,-0.0668049708774556,0.289922985483166,0.0656623234467374,0.426855515812619,0.156156340915478,0.333282420666364,0.559972865236665,0.034581452860818
"CYP2A6","cyan",-0.0473196018718858,0.513155871639059,0.172183916489645,0.156707449269868,0.390905534924339,0.280080938453094,-0.273829956103424,-0.594854756823067,-0.199663677883256,-0.456273633472219,-0.310479163364014,-0.264549143840735,-0.113868102890167,-0.00101415846378934,-0.0316377115807602,0.471368708323511,0.23586905172291,0.0396674827892263,0.78480116321036
"GAS6","blue",-0.455433570402381,0.116830376727265,0.365847468008224,0.745029216542494,0.450385799505622,0.677119886790188,-0.762405492597062,-0.288010309750735,-0.119842230428593,-0.502885623155658,0.0872856623276195,-0.506750608828984,0.105630790193746,-0.519431550230592,-0.26103041790845,0.0852547721709309,-0.163861032094782,0.0506433035588573,0.104054965692282
"MMP14","red",0.10378895566907,-0.374813401129887,-0.277330252966439,-0.487803952781342,-0.14344519846587,-0.311959618085926,0.284875540858296,0.333725402899559,-0.182626568387704,0.146711170840016,-0.16446272468368,0.405088266968972,0.305876562155097,0.471584010444038,0.333837882106865,-0.362466229204619,0.052616886685057,-0.12053795713006,-0.236836943944854
"TRADD","brown",-0.0928663284038103,-0.133355243889814,-0.141575829917942,0.180383746857737,0.325685003110055,0.149319700979441,-0.281003157887111,-0.245562353143694,-0.447102761628542,-0.417209852391816,-0.170914559359893,-0.0626984379655893,0.191389382327804,-0.00401771189991002,0.227601838637858,-0.0706563055520631,0.138725847105899,0.31259726056945,-0.0564116394781756
