"Gene","Module"
"DDR1","brown"
"RFC2","blue"
"HSPA6","grey"
"PAX8","turquoise"
"GUCA1A","turquoise"
"UBA7","green"
"THRA","turquoise"
"PTPN21","brown"
"CCL5","green"
"CYP2E1","turquoise"
"EPHB3","brown"
"ESRRA","blue"
"CYP2A6","turquoise"
"GAS6","brown"
"MMP14","blue"
"TRADD","grey"
"FNTB","purple"
"PLD1","brown"
"DTX2P1-UPK3BP1-PMS2P11","turquoise"
"BAD","blue"
"PRPF8","blue"
"CAPNS1","blue"
"RPL35","salmon"
"RPL28","blue"
"EIF4G2","black"
"EIF3D","blue"
"PARK7","yellow"
"SRP14","yellow"
"GDI2","black"
"RPL11","salmon"
"ARF3","blue"
"RPL21","salmon"
"RPL24","salmon"
"HNRNPC","yellow"
"SEPTIN2","black"
"HNRNPA1","salmon"
"RPS27A","salmon"
"RPS13","salmon"
"FAU","salmon"
"TARDBP","red"
"CFL1","grey"
"RPL18","blue"
"EIF3F","grey"
"RPS5","blue"
"RPL27","salmon"
"RPL34","salmon"
"NARS1","yellow"
"STARD7","yellow"
"RPL19","salmon"
"SLC25A3","purple"
"RPS11","salmon"
"RPL9","salmon"
"DDX5","red"
"RPL6","salmon"
"CTDNEP1","grey"
"RPL10A","salmon"
"CBX3","yellow"
"RPL17","salmon"
"PSMB2","purple"
"KHDRBS1","yellow"
"DDX39B","blue"
"RTCB","purple"
"ERH","yellow"
"SRSF9","purple"
"ABCF1","blue"
"DAD1","purple"
"YY1","red"
"JTB","purple"
"KAT7","turquoise"
"ZNF146","yellow"
"SART1","tan"
"ILF2","purple"
"SPAG7","blue"
"ZPR1","yellow"
"TAF10","blue"
"C1D","black"
"NONO","yellow"
"SNRNP200","blue"
"RHOA","purple"
"RNPS1","blue"
"RPS24","salmon"
"RPL30","salmon"
"NPM1","yellow"
"HSP90AB1","blue"
"ARF1","blue"
"IK","grey"
"SNX3","grey"
"CANX","purple"
"SART3","grey"
"CNPPD1","tan"
"SMNDC1","black"
"HNRNPM","purple"
"HNRNPD","red"
"RPL14","salmon"
"GUK1","blue"
"KXD1","blue"
"OAZ1","blue"
"ATP6V0B","blue"
"KARS1","grey"
"H3-3A","grey"
"RPS6","salmon"
"RPS7","salmon"
"USP22","blue"
"C11orf58","black"
"ELOB","blue"
"COX4I1","tan"
"TMED2","black"
"RPL12","salmon"
"RPL4","salmon"
"FNTA","red"
"RPS25","salmon"
"RPL37","salmon"
"HINT1","salmon"
"EEF2","blue"
"RPS10","salmon"
"ATP6V0E1","grey"
"HNRNPK","purple"
"ANAPC5","grey"
"RPS3A","salmon"
"HNRNPU","yellow"
"EIF3A","black"
"HSP90B1","yellow"
"MSN","blue"
"ACTN4","blue"
"APP","grey"
"PRKAR1A","purple"
"DSP","brown"
"RAD21","yellow"
"WDR1","purple"
"NCL","yellow"
"AP2B1","blue"
"AP2M1","blue"
"CLTC","purple"
"MLEC","magenta"
"LASP1","grey"
"SF3B2","blue"
"TMEM59","black"
"CSRP1","blue"
"CALM2","purple"
"CALM3","grey"
"MATR3","black"
"CAP1","blue"
"PTGES3","black"
"WARS1","lightcyan"
"SET","yellow"
"NDRG1","brown"
"UBB","grey"
"PFN1","blue"
"PTPRF","brown"
"YWHAZ","yellow"
"SOD1","yellow"
"HDLBP","blue"
"MARCKSL1","magenta"
"GABARAP","blue"
"NUCB1","blue"
"EIF3C","blue"
"GLUL","green"
"LDHA","purple"
"RACK1","blue"
"SSR2","blue"
"CALM1","magenta"
"P4HB","blue"
"SLC25A5","purple"
"PHB1","blue"
"S100A11","blue"
"CTSA","blue"
"TOMM20","black"
"CD63","magenta"
"DNAJB1","blue"
"SPARC","cyan"
"UBE2D3","black"
"XBP1","green"
"SPTBN1","blue"
"LAPTM4A","cyan"
"RPL32","salmon"
"CD81","blue"
"UBE2L3","purple"
"PTTG1IP","magenta"
"GRN","blue"
"HMGB1","midnightblue"
"GLO1","purple"
"SRSF11","red"
"SF3B3","grey"
"EEF1G","grey"
"HSPA9","yellow"
"YWHAQ","black"
"DDX24","grey"
"PPP2R1A","blue"
"GSN","brown"
"HK1","grey"
"KDELR2","purple"
"NPC2","grey"
"DYNLL1","grey"
"LITAF","grey"
"EEF1B2","salmon"
"PRKCSH","blue"
"GOT2","blue"
"FKBP1A","purple"
"ACADVL","brown"
"SKP1","black"
"MAPRE1","purple"
"OS9","grey"
"RPL13A","salmon"
"RPL7","salmon"
"ACTR1A","blue"
"CAPRIN1","purple"
"RPL10","blue"
"PPP1CC","black"
"ACTR2","yellow"
"PTP4A1","purple"
"NACA","salmon"
"GPX1","blue"
"PGK1","purple"
"SUMO3","purple"
"RPS27","salmon"
"TPP1","purple"
"GNB1","blue"
"NUMA1","blue"
"FTH1","grey"
"RAN","purple"
"CAPN1","tan"
"SRSF2","yellow"
"CALU","purple"
"NFE2L1","blue"
"ARL6IP5","black"
"DPYSL2","cyan"
"RPLP1","grey"
"CTNNA1","grey"
"CTSD","blue"
"FAM120A","yellow"
"MAT2A","pink"
"LAMC1","cyan"
"PTMA","tan"
"BZW1","black"
"ATF4","grey"
"GNAS","magenta"
"RPS15A","salmon"
"ANXA5","magenta"
"STMN1","yellow"
"LRP1","brown"
"PSMB7","purple"
"PEA15","purple"
"ECH1","tan"
"ODC1","grey"
"IQGAP1","grey"
"XRCC6","purple"
"ACO2","purple"
"DAZAP2","black"
"SPARCL1","brown"
"MCL1","green"
"HSPA1A","grey"
"ACTB","grey"
"SARS1","grey"
"TMBIM6","purple"
"LMAN2","blue"
"HSPD1","yellow"
"ZYX","blue"
"CIRBP","brown"
"CCT7","blue"
"PAFAH1B1","black"
"PSME1","green"
"ATP5PO","salmon"
"RPS15","salmon"
"PSMD8","blue"
"LAMP2","purple"
"TPI1","blue"
"RPL29","blue"
"GSTP1","blue"
"HYOU1","blue"
"SNRPD2","blue"
"PLOD1","blue"
"ZNF207","purple"
"PSMD2","grey"
"SCD","magenta"
"RAP1B","black"
"RPS21","salmon"
"MAP4","tan"
"BCAP31","blue"
"CTSB","magenta"
"EPRS1","yellow"
"PRDX6","black"
"PPP1CA","blue"
"SARAF","black"
"AHCYL1","grey"
"IST1","greenyellow"
"GNB2","blue"
"H2AZ1","yellow"
"NCOR1","grey"
"RPS8","salmon"
"FLNA","blue"
"CNOT1","grey"
"DHCR24","brown"
"RAB11A","brown"
"PSAP","purple"
"RNF114","yellow"
"RPL18A","blue"
"STRAP","purple"
"S100A10","grey"
"CCT8","yellow"
"NOP56","yellow"
"PSMB1","grey"
"CCT4","purple"
"EPAS1","brown"
"DNAJA1","black"
"PSMD4","blue"
"UQCRC2","black"
"CKB","grey"
"PPM1J","blue"
"PGAM1","purple"
"STAT1","green"
"RPL23","salmon"
"SSR1","yellow"
"TRA2B","black"
"FKBP4","blue"
"HDGF","blue"
"PALLD","brown"
"OGA","pink"
"M6PR","purple"
"SELENOF","black"
"AHCY","blue"
"HLA-E","green"
"RPLP2","salmon"
"CCT3","blue"
"TACC1","grey"
"EIF4A2","red"
"PPM1G","blue"
"KTN1","red"
"TAGLN2","blue"
"SRPRA","blue"
"PHC2","blue"
"BTG1","greenyellow"
"KDELR1","blue"
"LGALS3BP","magenta"
"SLC3A2","magenta"
"COX6A1","blue"
"RPS23","salmon"
"RAB14","purple"
"TMED10","purple"
"VCL","brown"
"DCTN2","blue"
"RPS4X","salmon"
"DEK","black"
"CALR","blue"
"RPL8","blue"
"RPL5","salmon"
"RERE","grey"
"HSBP1","yellow"
"HMGN1","black"
"SEC31A","grey"
"GLUD1","purple"
"MLF2","blue"
"RPS20","salmon"
"ARPC1A","blue"
"CCND2","greenyellow"
"ATP6V0C","blue"
"IMMT","purple"
"SSRP1","blue"
"SDCBP","magenta"
"FUS","blue"
"CLTA","purple"
"SEPHS2","yellow"
"RPL31","salmon"
"UBA1","blue"
"ABLIM1","brown"
"ALDOA","blue"
"PPIB","blue"
"SERP1","black"
"TSPAN3","magenta"
"ACTA2","brown"
"PPT1","black"
"TAX1BP1","yellow"
"MDH1","purple"
"PDHA1","grey"
"ANXA6","blue"
"CD59","purple"
"SERPING1","greenyellow"
"PSME3","purple"
"HIF1A","black"
"TRIM28","blue"
"SNX17","purple"
"IPO7","yellow"
"ACTR3","black"
"RBM4","blue"
"CKAP4","brown"
"AARS1","blue"
"UBE2V1","grey"
"PEDS1-UBE2V1","blue"
"SSR4","blue"
"CD9","brown"
"PRDX2","brown"
"HADHB","black"
"TXNIP","greenyellow"
"RPN1","blue"
"ANXA1","brown"
"PAICS","purple"
"JUP","brown"
"EIF1AX","red"
"YWHAH","purple"
"DSTN","brown"
"TAF7","black"
"EIF5B","midnightblue"
"CD99","grey"
"LDHB","purple"
"HNRNPH1","red"
"BLCAP","brown"
"RPLP0","salmon"
"ADD3","red"
"HADH","grey"
"PFKP","grey"
"ANP32A","yellow"
"RAD23A","blue"
"GNAI2","blue"
"DUSP1","brown"
"TGM2","green"
"RAB6A","black"
"RPS18","salmon"
"PLD3","blue"
"PSMF1","blue"
"HNRNPA0","grey"
"GOLGB1","pink"
"MYL9","brown"
"CTTN","grey"
"STOM","black"
"RCN1","red"
"PABPC4","magenta"
"GTF2I","grey"
"CYC1","blue"
"PSMC2","yellow"
"MMP2","brown"
"SF3B1","red"
"SMARCC1","midnightblue"
"SNU13","purple"
"TM9SF2","purple"
"SYNGR2","green"
"PIP4K2B","blue"
"DCTN1","blue"
"BCLAF1","red"
"SON","red"
"PXN","grey"
"KPNA2","yellow"
"ATP6V1B2","purple"
"TUBA1B","yellow"
"RBBP7","yellow"
"SDHA","grey"
"RPS29","salmon"
"DAP","blue"
"ARF4","purple"
"COPB2","black"
"USP9X","red"
"PFKL","blue"
"NBPF12","red"
"NBPF14","grey"
"LGALS1","blue"
"GPX4","blue"
"THBS1","grey"
"CSE1L","yellow"
"TUFM","blue"
"PSMA7","blue"
"POLD2","blue"
"CPE","brown"
"PGD","blue"
"COX8A","blue"
"PGRMC1","black"
"EIF5A","blue"
"ITGB5","brown"
"MGAT1","blue"
"ACLY","yellow"
"SRSF7","red"
"CDH1","grey"
"HNRNPH2","black"
"PJA2","grey"
"COX7C","salmon"
"ECHS1","blue"
"PLP2","blue"
"HLA-DPB1","green"
"SSB","yellow"
"RAB5C","purple"
"GPNMB","magenta"
"EIF2S1","yellow"
"HAX1","blue"
"NFE2L2","black"
"TIMP3","grey"
"MBNL1","black"
"MFN2","tan"
"NMT1","magenta"
"YBX3","brown"
"IGFBP7","grey"
"PUM1","red"
"ARHGDIA","blue"
"BHLHE40","grey"
"NUDC","blue"
"TERF2IP","grey"
"TMX2","purple"
"ARCN1","black"
"UBA2","yellow"
"FBXO7","magenta"
"GNAI3","black"
"CHD4","blue"
"HTRA1","cyan"
"LRPAP1","magenta"
"ITPR3","blue"
"PITPNA","brown"
"IDH1","black"
"SELENOW","blue"
"SLC7A5","magenta"
"AMD1","red"
"PSMD1","purple"
"CREG1","greenyellow"
"CSTB","blue"
"PCNA","yellow"
"RRBP1","blue"
"TNFAIP1","brown"
"HDAC1","blue"
"DDX3X","black"
"LGMN","green"
"PPP1R7","blue"
"PLS3","black"
"ERP29","purple"
"RPL3","salmon"
"CTBP2","magenta"
"SNRNP70","pink"
"RAD23B","black"
"SRRM1","pink"
"NDUFB8","grey"
"ARIH2","red"
"ENO1","blue"
"PSMD13","blue"
"ILK","blue"
"BTG2","greenyellow"
"CAPZA2","black"
"SPCS2","purple"
"DDX1","black"
"ATP1B1","brown"
"RAF1","brown"
"OTUB1","tan"
"SREBF2","blue"
"SLC2A1","brown"
"PKM","blue"
"PSMC4","blue"
"CDIPT","grey"
"BAG6","blue"
"COX7A2L","yellow"
"RPS16","salmon"
"SYPL1","black"
"BGN","cyan"
"TARS1","yellow"
"COPE","blue"
"TXNRD1","purple"
"PSMC3","blue"
"NME2","blue"
"NUDCD3","turquoise"
"RALY","blue"
"AKR1B1","blue"
"SRP9","black"
"PSMA5","purple"
"FDPS","grey"
"RAB5B","tan"
"HNRNPAB","blue"
"DAB2","grey"
"ADRM1","blue"
"OGDH","blue"
"TRAK1","turquoise"
"APEH","blue"
"MKRN1","black"
"SDC1","brown"
"ARHGDIB","green"
"CCN1","greenyellow"
"SEC11A","yellow"
"TOP2A","yellow"
"PPIA","yellow"
"WSB1","pink"
"MOB1A","black"
"PRNP","black"
"ANXA4","grey"
"EIF4A3","purple"
"NDUFA5","black"
"ANP32B","yellow"
"SEPTIN11","black"
"NREP","turquoise"
"SH3BGRL","black"
"ENO2","magenta"
"STK25","blue"
"IFITM2","green"
"PSMA2","black"
"MYL12A","grey"
"SMARCC2","grey"
"ATP5F1B","purple"
"EBNA1BP2","yellow"
"EMP1","grey"
"CCT6A","yellow"
"ETS2","brown"
"RARS1","black"
"STAT6","grey"
"ARHGEF12","turquoise"
"VAMP3","blue"
"GTF3A","midnightblue"
"SCP2","black"
"ENC1","grey"
"SNRPC","blue"
"UBE2D2","black"
"ADIPOR2","magenta"
"GRHPR","salmon"
"GPX3","brown"
"NHERF1","brown"
"FLOT2","blue"
"YME1L1","black"
"BAZ2A","blue"
"SF3A1","purple"
"COPB1","yellow"
"CST3","greenyellow"
"TMEM109","purple"
"IVNS1ABP","yellow"
"OAZ2","blue"
"ANXA7","greenyellow"
"ZFP36L2","brown"
"CUL3","black"
"PLEC","blue"
"PPP2CB","black"
"HNRNPF","purple"
"UBAP2L","magenta"
