"","MEblue","MEtan","MEmagenta","MEpurple","MElightcyan","MEgreen","MEgreenyellow","MEbrown","MEcyan","MEmidnightblue","MEyellow","MEblack","MEred","MEsalmon","MEpink","MEturquoise","MEgrey"
"Normal",-0.222047508326404,-0.108357942802164,-0.186640534842588,-0.0700623391915906,-0.0229775839465471,0.0482324891854614,0.195349399883974,0.144484986104236,0.136645954082538,-0.0978138405614144,-0.0667567856498512,0.129059362083014,0.156860705457234,0.111162012322101,0.153038675584221,0.027276124671462,-0.00471513389336035
"Normal.1",-0.281292163248005,-0.105768865925749,-0.187124006106757,-0.112923398678821,-0.0289591021359521,0.0290786630149683,0.173559589375294,0.177961789492755,0.114447648601848,-0.13803991960274,-0.0685382268173419,0.114048681381537,0.159646434154077,0.232133731615034,0.149146464124983,0.0680901580934774,-0.0352666085744288
"Normal.2",-0.273226292143587,-0.130598943092579,-0.17800416787476,-0.104598535049085,-0.0514079005287778,0.0583446732761003,0.208304406413379,0.158111537452127,0.106979206225333,-0.148133253607428,-0.0737776240192647,0.116721553532788,0.106850404233404,0.214448369668417,0.101777832197812,0.0960071463121065,0.0113782182711651
"Normal.3",-0.241877713481731,-0.112911668359335,-0.180718268237793,-0.0474714538356675,-0.0289766106544128,0.0498765046673785,0.19790281423286,0.14046791560889,0.144078324536574,-0.0883223017762662,-0.0639793634645576,0.145856336222821,0.145557630401099,0.0929316750758935,0.126727784237612,0.0310022508634504,-0.00383494557987915
"Normal.4",-0.268083674289703,-0.123553984781605,-0.186243802924948,-0.100046656634494,-0.0373741088797161,0.0621646619085551,0.172180351717774,0.171754498895807,0.0948471338878507,-0.0986637977014166,-0.0595669492764544,0.0900687382439195,0.129921122069726,0.0858581138424965,0.132782057205208,0.199810805543406,0.0916334749129534
"Normal.5",-0.106584700764372,0.0257201041960116,-0.2026245670206,-0.0614800131539024,-0.0611789631064894,0.0530113987839623,0.167308705559294,0.20251039580187,0.138316314777378,-0.193208562112388,-0.153486346632558,0.0191815612390931,-0.00688096201348628,0.0727484786005085,0.0639472450203267,0.0521920557301789,0.0187392006648334
"Normal.6",-0.127289166717355,-0.000195910727805977,-0.201299621089956,-0.0982972306632246,-0.0869598365396212,0.0250301824917558,0.142921744177694,0.189769021490319,0.058720820719738,-0.1376152159421,-0.0980068474205395,0.00423566972609429,0.0250187560685972,0.168618430377023,0.0908313929486965,0.0402122946387792,-0.0121273395157
"Melanoma",0.0633718096121896,0.0453046283675474,0.0335401277156246,0.0130108374095649,-0.095320437904466,-0.0529193457174908,-0.0526808473186662,-0.0209902970679387,-0.0476450492573338,0.0260766356851988,0.0197861986061677,-0.0269724406322576,-0.0526737108042415,-0.0215704702899547,-0.0434437917917331,-0.0120853066419489,-0.0347369894823466
"Melanoma.1",0.0619343299112878,0.039319973592394,0.05193966983086,0.0524106708678707,0.0241479323199672,-0.029377355958883,-0.0582054910761424,-0.0498362478425917,-0.0497668740216464,0.0039796383295478,0.0230377750676245,-0.0361967295134762,-0.0784721408395267,0.0703172862608518,-0.0500264520684645,-0.0122222738348122,-0.0307232672247562
"Melanoma.2",0.0112423966298789,0.00148973727479232,-0.00109355748103683,0.0465875907568208,-0.0506369349795489,0.00954222318540821,0.00522031783973945,-0.0219783983788342,0.0103691805113061,-0.0267661507361709,-0.0262687851372668,0.0213799035912561,-0.0212832697192434,0.0488347455399133,-0.0385103836211863,0.0132633934572748,0.0049397579229806
"Melanoma.3",0.0579130305455206,0.0637368142137794,0.0518706432584033,-0.0335954470250488,-0.0433729717347402,-0.0189197569346173,-0.0262207001210138,-0.0196137829933026,-0.00749351481624076,0.0151269969350967,-0.0407520138919808,-0.0782354687259924,-0.0385634749351172,0.0226202233536258,0.0130638856401458,0.0310293265545687,-0.0290375623706053
"Melanoma.4",0.0594408767641566,0.0243252904271934,0.0529606820416154,0.072423106871515,-0.0143084588171866,-0.0438402900703694,-0.0732363508309359,-0.0548086401792767,-0.0653462329247356,-0.00893538418998919,0.0263829417821048,-0.0121692114321597,-0.0598515725432154,0.0314667217090355,-0.060884433055618,-0.0108601068908519,-0.0249518747420942
"Melanoma.5",-0.024089057117696,-0.0258271032747946,0.0287762213111257,-0.0195178807288382,-0.0566249084227893,0.0164938377281338,0.00636935679538868,-0.00586772456663153,0.000965845367592956,0.00788104968648514,0.0110414924334975,0.00423388281599954,0.0440762849912697,0.0718765115955875,0.0423982994013587,0.0462245668660163,-0.029474976349782
"Melanoma.6",0.0747169868961684,0.0656372143341116,0.045622319157485,-0.0105632460088895,0.147037113059035,0.00547901381245091,-0.0273818084478386,-0.0296534649712676,-0.0231945273624728,0.0114961448976422,-0.00158723998632834,-0.0818282274723517,-0.0626815666160332,0.0113784479274783,-0.0077427099114966,0.0340861212128477,-0.00797366276500378
