"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",190,0.613097779756191,2.80993985448642,1e-10,1.66666666666667e-09,1.22311650928088e-09,2466,"tags=52%, list=19%, signal=43%","UBE2S/SNRPB/TUBB/CDCA3/JPT1/HMGA1/CDK4/RFC2/NME1/DDX39A/PA2G4/TOP2A/PTTG1/ILF3/RRM2/KPNA2/MCM7/CDKN3/MCM3/POLD1/BIRC5/AK2/NCAPD2/AURKA/CDKN2A/MYBL2/STMN1/PCNA/RNASEH2A/PRKDC/MCM4/CDK1/AURKB/TK1/ATAD2/SPC25/CKS2/DONSON/TACC3/TUBG1/MELK/H2AZ1/SPAG5/CTPS1/MCM5/KIF4A/CDC20/TRIP13/LMNB1/H2AX/SSRP1/CCNB2/ASF1B/NUP205/CDCA8/KIF18B/PRDX4/NOP56/DLGAP5/DCTPP1/RANBP1/DUT/KIF2C/PPP1R8/PMS2/EIF2S1/HMMR/RAD1/IPO7/LIG1/SMC3/MAD2L1/SMC4/PAICS/NBN/MCM2/CENPM/TFRC/CHEK1/MKI67/DNMT1/CDC25A/TIPIN/PRPS1/MCM6/NUDT21/POLD2/PNN/CIT/CNOT9/RACGAP1/GSPT1/PSMC3IP/ZW10/HELLS/TP53/PRIM2/MXD3/SRSF1",NA
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.543823645924881,2.55592664857642,1e-10,1.66666666666667e-09,1.22311650928088e-09,2706,"tags=51%, list=21%, signal=41%","EIF4A1/CAD/HSP90AB1/PSMD3/VDAC1/PHB2/HNRNPU/PSMB3/SRM/CDK4/FAM120A/NME1/CDK2/KPNB1/CCT3/TRIM28/TUFM/PABPC4/TYMS/CUL1/PSMC4/PA2G4/CYC1/LSM7/CCT7/KPNA2/PHB1/MCM7/PABPC1/HSPD1/NOP16/PPM1G/SET/MRPL23/UBE2L3/SNRPD2/PSMA4/PSMA7/PSMD1/PCNA/MCM4/RUVBL2/LSM2/CCNA2/ILF2/PCBP1/H2AZ1/CTPS1/GOT2/MCM5/CDC20/CDC45/SMARCC1/CCT5/TFDP1/PSMD8/MRPS18B/PRDX4/SNRPA/CCT2/NOP56/EIF3B/RANBP1/COX5A/HSPE1/COPS5/DUT/TXNL4A/EPRS1/EIF2S1/NHP2/PWP1/MAD2L1/SNRPD1/RPS5/RACK1/HDAC2/MCM2/PSMB2/POLE3/NCBP1/CANX/SLC25A3/MCM6/POLD2/PGK1/GSPT1/RPL18/ERH/SNRPB2/LDHA/EIF4H/SRSF1/PSMD14/RRP9/G3BP1/SF3A1/NAP1L1/ORC2/PRPF31/SRSF3/ODC1",NA
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,0.510917267810844,2.40126936333322,1e-10,1.66666666666667e-09,1.22311650928088e-09,2280,"tags=44%, list=17%, signal=37%","UBE2S/HNRNPU/JPT1/HMGA1/CDK4/E2F3/SLC7A5/DDX39A/MARCKS/KPNB1/TPX2/CUL1/KIF23/TOP2A/PTTG1/ILF3/UCK2/TLE3/KPNA2/ABL1/TOP1/CDKN3/MCM3/UPF1/BIRC5/HIRA/EXO1/AURKA/TNPO2/MYBL2/STMN1/CDK1/AURKB/CKS2/UBE2C/TGFB1/TACC3/CCNA2/CENPF/CCND1/DTYMK/H2AZ1/PBK/MCM5/KIF4A/GINS2/CDC20/LMNB1/PRC1/H2AX/CDC45/CCNB2/CDC6/SMARCC1/TFDP1/LIG3/SQLE/DBF4/PRMT5/ATF5/KIF2C/PTTG3P/NDC80/SS18/ODF2/E2F1/HMMR/CHAF1A/MAD2L1/SMC4/SNRPD1/RBM14/SLC7A1/MCM2/NEK2/CHEK1/MKI67/DKC1/EWSR1/CDC25A/NSD2/MCM6/NCL/NUMA1/KIF5B/KIF11/TTK/RACGAP1/GSPT1",NA
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",139,0.508387689917653,2.26558097929528,7.1683253752656e-10,7.1683253752656e-09,5.26061826623067e-09,2388,"tags=40%, list=18%, signal=33%","POLR2J/NME4/USP11/NELFCD/BCAP31/RFC2/NME1/GUK1/AAAS/POLR2E/SEC61A1/TYMS/GPX4/ADRM1/CETN2/POLD1/ITPA/SDCBP/MPG/PCNA/TARBP2/DDB1/POM121/TAF10/VPS28/GTF2F1/SUPT4H1/SSRP1/POLD4/APRT/RALA/FEN1/ZWINT/DUT/GSDME/TAF6/POLR2K/DGUOK/POLR2F/ARL6IP1/LIG1/DCTN4/STX3/POLR2I/SUPT5H/ERCC2/TAF12/SNAPC5/NUDT21/POLA1/ADCY6/DAD1/AK1/TP53/CANT1/GTF2A2",0.801215574617779
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.583981842924761,2.2412625295156,9.15463001213086e-07,4.57731500606543e-06,3.35915373125866e-06,3417,"tags=67%, list=26%, signal=50%","SRM/CDK4/EXOSC5/FARSA/PA2G4/BYSL/PHB1/HSPD1/NOP16/MRTO4/MCM4/TCOF1/SLC19A1/MCM5/NIP7/NOP56/DCTPP1/HSPE1/NDUFAF4/UTP20/MPHOSPH10/PES1/WDR74/NOP2/IMP4/PPRC1/TMEM97/RRP9/TBRG4/CBX3/PLK4/DDX18/NPM1/MYC/PLK1/GNL3/PPAN/NOC4L/PUS1",0.659444398037935
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,0.506442980291004,2.16516832660504,3.20334862832397e-08,2.28810616308855e-07,1.67917225383657e-07,2858,"tags=49%, list=22%, signal=38%","EIF4A1/EIF4G1/BANF1/YWHAZ/LSM4/DCTN1/ALDH18A1/SLC7A5/SRPRA/EXOSC5/HYOU1/HSPA5/ATP6V0D1/HSPA9/IMP3/WIPI1/FUS/EEF2/DNAJC3/RPS14/PARN/EXOC2/EIF4EBP1/CALR/SLC1A4/H2AX/KHSRP/NOP56/SEC11A/ATF6/EXOSC4/HSP90B1/FKBP14/DDIT4/CNOT4/EIF2S1/YIF1A/NHP2/DKC1/EXOSC9/GOSR2/KIF5B/PSAT1/KDELR3/ERO1A/SHC1/SLC30A5/NFYA/RRP9/TARS1/SRPRB/ARFGAP1/PREB/SDAD1/SKIC3",0.719512826338911
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.459610581735033,2.11285007033852,2.0095568719675e-10,2.51194608995937e-09,1.84344163983173e-09,2557,"tags=43%, list=20%, signal=35%","STIP1/PDAP1/GPI/M6PR/YKT6/GAPDH/SLC7A5/DDX39A/FKBP2/ATP2A2/PSMC4/HSPA5/HSPA4/RRM2/PFKL/HSPA9/TPI1/HSPD1/ENO1/PSMA4/ACTR2/ALDOA/AURKA/QDPR/MCM4/WARS1/SLC1A5/SERPINH1/TUBG1/NFYC/RPN1/CALR/SLC1A4/PSME3/NUP205/SQLE/SQSTM1/G6PD/NFKBIB/SDF2L1/SEC11A/ADIPOR2/PSMD13/HSP90B1/HSPE1/COPS5/DDIT4/GGA2/GOT1/ATP6V1D/PSPH/ACTR3/EPRS1/CYB5B/PPP1R15A/ACSL3/NMT1/ABCF2/RIT1/MCM2/ACLY/TFRC/TRIB3/SLC37A4/PHGDH/CDC25A/SHMT2/HMBS/CANX/TXNRD1/CCT6A/RDH11/PSAT1/PGK1/TMEM97/CYP51A1/ERO1A/GSR/LDHA/GLA/TOMM40/PSMD14/GSK3B/RRP9/FDXR",0.826657301178302
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",200,-0.443580856577484,-2.0337717751682,3.82088298489677e-09,3.18406915408064e-08,2.33669252942883e-08,3081,"tags=46%, list=24%, signal=36%","DYNLT3/PLAAT3/WFS1/METTL3/ELOVL5/PAPSS2/IGSF1/IDH2/TMPRSS3/CA2/DHCR7/XBP1/KLK10/BLVRB/HOMER2/TPBG/SCUBE2/CACNA2D2/SOX3/LARGE1/SLC27A2/ID2/CCN5/CISH/AREG/PDZK1/TJP3/RAB31/SULT2B1/NCOR2/GAL/ANXA9/UNC13B/ST14/TRIM29/NMU/IL6ST/FOS/HSPB8/LSR/SERPINA5/IMPA2/CHPT1/GPER1/CYP26B1/MYB/SLC22A5/MAPK13/ASS1/TST/GJB3/ALDH3A2/ETFB/PRKAR2B/TFF3/FLNB/IL17RB/CXCL14/LAMC2/TIAM1/JAK1/MYOF/SFN/ZFP36/KLK11/OVOL2/ACOX2/PTGES/CPE/CA12/TFAP2C/RAPGEFL1/FOXC1/CXCL12/FGFR3/SCNN1A/KLF4/DLG5/TOB1/TPD52L1/EMP2/KCNK5/TSPAN13/AGR2/PTGER3/PCP4/PDCD4/SLC24A3/BAG1/NPY1R/AFF1/KRT19/HMGCS2",0.761460801445585
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,-0.46350698113387,-2.02917346547454,1.03401913887662e-07,6.46261961797887e-07,4.74272204877149e-07,3353,"tags=48%, list=26%, signal=36%","ID1/BDNF/SCAF8/CDKN1B/BHLHE40/SCHIP1/ATP2C1/SIPA1L1/GCNT1/PRDM2/PTGFR/ADORA2B/ICA1/SYNJ2/COL1A1/COL3A1/BMPR1A/IRS1/CAP2/SMAD7/CITED2/PIAS3/SYNE1/WDR37/ANXA2/AMPH/NRP1/KCNMA1/NEK7/INSIG1/ADGRL2/COL1A2/DYRK1A/FBLN5/FHL2/PLPP3/ERBB2/CCN1/TJP1/IGFBP5/LAMC1/PIK3R3/RND3/YTHDC1/MGLL/RUNX1/NOTCH2/NR3C1/DLG1/PRKAR2B/GRK5/ACVR2A/TGFBR2/PDLIM5/PLCB4/GJA1/MIOS/EFEMP1/TFPI/DUSP1/LPAR1/APBB2/F3/LTBP1/DDAH1/PPARG/TENT4A/TGFBR3/NFIB",0.704975715167238
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",158,0.419641934622276,1.92662917240945,3.39830585172232e-06,1.5446844780556e-05,1.13359745204384e-05,2117,"tags=34%, list=16%, signal=29%","STIP1/BSG/ATP6V1F/PDAP1/PRKCD/PSMC3/AP2S1/SLC6A8/SELENOW/HNRNPU/YKT6/RAB27A/CDK2/GRINA/EIF2S3/CDC34/DNAJB1/MMP14/ENO2/MRPL23/ALDOA/DGAT1/SPR/CCND3/STARD3/RPN1/H2AX/CNP/FEN1/SQSTM1/CHKA/MARK2/EIF5/ICAM1/ARRB2/SIGMAR1/HYAL2/CYB5B/PPAT/FURIN/IGFBP2/PPIF/WIZ/NTRK3/KLHDC3/TFRC/HLA-F/POLE3/STK25/TGFBRAP1/NXF1/RXRB/BAK1/ATP6V1C1",0.627256739718528
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,-0.418071609022273,-1.91681454648197,1.34406024563413e-07,7.46700136463407e-07,5.47980758634409e-07,2637,"tags=41%, list=20%, signal=33%","XBP1/KLK10/BLVRB/MSMB/ABAT/SLC2A1/TPBG/AR/SOX3/SLC27A2/CCN5/CISH/AREG/PDZK1/TJP3/RAB31/SULT2B1/NCOR2/ANXA9/RHOD/KLF10/IL6ST/FOS/SLC1A1/HSPB8/WWC1/KRT8/FHL2/CHPT1/CYP26B1/ZNF185/CLDN7/MYB/B4GALT1/SLC22A5/DEPTOR/ELF3/OLFML3/DHRS3/MUC1/CALB2/ESRP2/BCL11B/TFF3/FLNB/IL17RB/SVIL/AQP3/TIAM1/CBFA2T3/MYOF/SFN/OVOL2/LRIG1/PTGES/CA12/REEP1/GJA1/TFAP2C/RAPGEFL1/FOXC1/CXCL12/KRT15/SH3BP5/ABLIM1/SCNN1A/KLF4/TOB1/TPD52L1/KCNK5/KRT18/HES1/PODXL/INHBB/TIPARP/SYBU/SLC24A3/BAG1/NPY1R/AFF1/KRT19/MAST4",0.690132458796796
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",199,-0.389662508979779,-1.76974952258177,8.49060595650347e-06,3.53775248187644e-05,2.5962500797995e-05,2877,"tags=36%, list=22%, signal=29%","EPHB2/AVL9/TMEM176A/CIDEA/CA2/ADAM17/SCG5/CFB/TNNT2/JUP/INHBA/GABRA3/BTC/AMMECR1/EVI5/HBEGF/ST6GAL1/FGF9/CFHR2/EREG/IRF8/ID2/MALL/TOR1AIP2/ARG1/ITGA2/MAFB/NRP1/CBX8/LIF/F2RL1/IL33/MPZL2/ITGBL1/ANGPTL4/TPH1/ANO1/BMP2/CROT/GLRX/NAP1L2/CCND2/TSPAN7/PLEK2/PTBP2/SLPI/RABGAP1L/SOX9/G0S2/HSD11B1/SATB1/SPON1/ALDH1A2/CBR4/MAP7/VWA5A/TMEM100/CPE/ANKH/RELN/F13A1/MMD/ADGRL4/CFH/TFPI/KLF4/DNMBP/TSPAN13/SPARCL1/PCP4/PECAM1/RBP4",0.593325476396405
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",200,-0.382382921710659,-1.75318565251394,1.15784899507739e-05,4.45326536568228e-05,3.26811743338486e-05,2554,"tags=34%, list=20%, signal=28%","COL1A1/COL3A1/COX7A1/PC/COL15A1/HBEGF/MEF2C/KCNH2/CDH13/LARGE1/APLNR/PRNP/PDE4DIP/ITGB1/ACSL1/BIN1/NCAM1/TNNI2/SPEG/MYOM2/TNNT1/CTF1/HSPB8/ACTC1/SH3BGR/ITGB4/MYOM1/BDKRB2/EPHB3/MEF2A/SGCA/TAGLN/FST/IGF1/LPIN1/SPARC/FXYD1/VIPR1/KLF5/SVIL/SGCG/DAPK2/GADD45B/AGL/CD36/ITGA7/CRAT/MYLK/SORBS1/LAMA2/REEP1/FGF2/DES/EFS/ITGB5/PTGIS/CASQ2/GSN/DMD/CLU/ABLIM1/SPDEF/TPD52L1/CFD/BAG1/TPM2/SOD3/MYH11/FHL1",0.593325476396405
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",179,-0.389998560888796,-1.73978783251697,2.16730089812298e-05,7.74036035043922e-05,5.68041751944323e-05,1589,"tags=31%, list=12%, signal=28%","ACADM/HSPB8/ANGPTL4/LIPE/PLIN2/REEP5/LPL/OMD/MTARC2/RNF11/IFNGR1/LAMA4/ME1/TST/ACAA2/ATP1B3/CD302/MGLL/RMDN3/ITSN1/ETFB/LEP/PHYH/HADH/MCCC1/C3/ACADL/CD36/ITGA7/ATP5PO/CRAT/MYLK/CMPK1/SULT1A1/SORBS1/STOM/FZD4/CAT/BCL6/EPHX2/ITIH5/ANGPT1/RREB1/ALDH2/PFKFB3/CCNG2/TOB1/DBT/CYP4B1/PPARG/RIOK3/SPARCL1/PTGER3/PDCD4/ADIPOQ/FABP4",0.575610261071129
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",102,0.405913102421234,1.71806400339406,0.000282935979724848,0.000832164646249554,0.00061070059036063,1855,"tags=29%, list=14%, signal=25%","ARF1/ARHGDIA/AKT1/PPP1CA/DUSP3/TSC2/AP2M1/CDK4/CDK2/CSNK2B/MAPKAP1/GRB2/ACTR2/CDK1/PFN1/PRKAG1/UBE2N/CALR/SQSTM1/NFKBIB/RIPK1/HSP90B1/ACTR3/ARPC3/CLTC/YWHAB/E2F1/PIN1/RIT1/TRIB3",0.49849310876659
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",197,-0.366088174584533,-1.66534780544525,0.000130109968041978,0.000433699893473259,0.000318279299868302,2582,"tags=41%, list=20%, signal=33%","COL8A2/INHBA/COL5A1/COL1A1/IL15/COL3A1/PLOD2/LUM/GREM1/VCAM1/MYL9/CAP2/ID2/AREG/ITGA2/TIMP3/ITGB1/GEM/JUN/DKK1/ITGA5/SPOCK1/VCAN/MXRA5/NT5E/ABI3BP/SDC1/COL1A2/ANPEP/DPYSL3/SFRP4/FBLN5/MMP2/BASP1/CCN2/CCN1/SDC4/LOX/CDH6/LAMC1/GAS1/VEGFC/DCN/DST/COL7A1/TAGLN/NOTCH2/ITGAV/FSTL1/SPARC/FERMT2/LAMC2/SGCG/GADD45B/FBLN1/MGP/MYLK/PCOLCE2/HTRA1/FBLN2/LAMA2/GJA1/FGF2/ITGB5/FBN1/FMOD/CXCL12/SFRP1/CRLF1/COL16A1/MATN2/SLIT3/EFEMP2/LAMA3/MFAP5/TGFBR3/TPM2/ECM2/ACTA2/TPM1",0.518848077743792
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",198,0.345691796253648,1.61430530090043,0.000220290863605075,0.00068840894876586,0.000505202610223334,2441,"tags=35%, list=19%, signal=29%","ATP6V1F/BAX/ATP6V0C/GPI/ATP6V1G1/VDAC1/PHB2/ATP5MC2/ATP6AP1/ATP6V0B/GPX4/OGDH/CYC1/NDUFA7/POR/NDUFS3/IDH3G/HSPA9/MRPS15/MRPS12/IDH3A/ATP5MF/NDUFV2/NDUFS1/NDUFV1/PMPCA/GOT2/PDP1/MGST3/SDHC/RETSAT/GLUD1/HSD17B10/COX6A1/SLC25A6/HADHA/NDUFS2/MDH2/MRPS11/COX5A/NDUFS7/MRPL15/AIFM1/ATP6V1D/TOMM22/ACO2/UQCR10/ETFA/POLR2F/UQCRC1/NDUFA3/CYCS/TIMM13/ATP6V1E1/MRPL35/SLC25A11/SLC25A3/ATP6V1C1/FH/MRPL34/ATP5F1D/SLC25A4/RHOT2/IDH3B/COX8A/COX5B/MTRR/LDHA/NDUFB3",0.518848077743792
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",101,-0.384965443801259,-1.58732299587307,0.00159758115471444,0.0039939528867861,0.00293104182787088,2285,"tags=32%, list=18%, signal=26%","AR/ABCD3/SLC27A2/SULT2B1/ACSL5/PXMP2/CYP46A1/ACSL1/BMP6/OPTN/BCAR3/LIPE/HSD3B1/CROT/PEX12/PAOX/ABCA5/ISOC1/ABCA6/CYP39A1/IDI1/PHYH/HSD17B4/HSD17B6/CAT/PEX7/EPHX2/BBOX1/NR3C2/ABCA8/ALDH9A1/TFCP2L1",0.45505986738723
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",36,-0.463242948271107,-1.57414945574767,0.0208427508271862,0.0372191979056896,0.0273140492523849,2501,"tags=39%, list=19%, signal=32%","COL3A1/LUM/S100A4/NRP1/VCAN/SERPINA5/FGFR1/LPL/SLCO2A1/CCND2/ITGAV/FSTL1/KCNJ8/JAG1",0.352487857583619
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",199,-0.345054274038468,-1.56715009186595,0.000570831877301121,0.00158564410361423,0.00116365648858467,4185,"tags=38%, list=32%, signal=26%","FGGY/KMT2D/TENT5C/SLC25A23/CCR8/C5/BARD1/MACROH2A2/TGM1/KRT13/MAGIX/NRIP2/RYR2/SCN10A/GP1BA/PDCD1/MAST3/GTF3C5/DTNB/COPZ2/SERPINB2/MYOT/EDN1/RYR1/CLSTN3/CPA2/NUDT11/SKIL/SIDT1/PTGFR/CALCB/SSTR4/THRB/NOS1/TG/SNN/EFHD1/EGF/ALOX12B/KLK8/SPRR3/TSHB/CD207/COQ8A/KLK7/ACTC1/ATP6V1B1/DLK2/CAMK1D/NR4A2/SYNPO/CALML5/LGALS7/KRT1/KRT5/LYPD3/PKP1/YBX2/GP2/CYP39A1/SELENOP/NTF3/BTG2/CPEB3/EDAR/SLC6A14/PRODH/KRT15/KCNMB1/FGFR3/CLDN8/TFCP2L1/HSD11B2/GPRC5C/TCF7L1/ZBTB16",0.477270815362862
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,0.369477713649774,1.5357520120573,0.00409388306366736,0.0093042796901531,0.00682813085759585,1024,"tags=20%, list=8%, signal=18%","ARF1/COPE/IGF2R/NAPA/ERGIC3/M6PR/AP2S1/AP2B1/YKT6/AP2M1/SCAMP3/CD63/ATP1A1/GNAS/RAB14/AP3B1/STX7/VAMP3/ADAM10",0.407017918923954
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",101,-0.367002635335069,-1.51325718189428,0.00485152060877812,0.0105467839321264,0.00773996732832127,2674,"tags=37%, list=21%, signal=29%","MERTK/HOMER2/TSC22D1/CDC14B/SEC24D/CDK6/PTK2B/B2M/SRP19/INSIG1/NKX3-1/KRT8/GNAI3/HMGCR/NGLY1/IQGAP2/TNFAIP8/APPBP2/HMGCS1/B4GALT1/UAP1/NDRG1/ITGAV/GPD1L/IDI1/SELENOP/MAF/MAP7/ADAMTS1/PDLIM5/ANKH/NCOA4/STK39/SPDEF/AZGP1/PLPP1/KRT19",0.407017918923954
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",46,0.408506238647959,1.50531043990452,0.0287456180910384,0.0495614105017903,0.036371627644792,2382,"tags=43%, list=18%, signal=36%","MBP/GPX4/GLRX2/HMOX2/ATOX1/EGLN2/G6PD/PRDX4/TXNRD2/NDUFS2/PTPA/LAMTOR5/CDKN2D/SBNO2/ERCC2/SOD1/STK25/TXNRD1/FTL/GSR",0.352487857583619
