"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0043588","skin development",165,-0.649110602791684,-3.16312642734122,1e-10,1.072e-07,6.66648685435769e-08,1786,"tags=48%, list=14%, signal=42%","ITGA6/ITGA2/KRT17/KRT6B/FOXC1/NCOA3/COL1A1/PRKCH/COL1A2/PUM2/COL5A1/BCR/IVL/RIPK4/KRT14/TXNIP/SFN/KRT5/CSTA/CLDN4/MACROH2A2/KRT1/KRT10/PLEC/MAFB/PKD1/ST14/ALOX12/KRT85/TCHH/ZFP36L1/LSR/TRADD/TGM1/DSP/FOXN1/AQP3/FBN1/FLG/LORICRIN/CDSN/SPINK5/ABCA12/AHDC1/PSEN1/SLC39A2/TRIM16/CLDN1/GRHL2/AKR1C3/PPL/GAL/ITGB4/VDR/KLK5/TP63/ALOX12B/JAG1/PKP1/ELOVL1/PKP3/PPP3CA/EVPL/EREG/KLF4/KRT2/ALOXE3/LCE2B/ALOX15B/DSC1/IL18/FERMT1/TGM3/DHCR24/KRT7/POU2F3/EXPH5/SCEL/FGFR2",NA
"GO:0008544","epidermis development",209,-0.623614738007851,-3.10421980633584,1e-10,1.072e-07,6.66648685435769e-08,1744,"tags=44%, list=13%, signal=39%","KRT17/KRT6B/FOXC1/NCOA3/PRKCH/PAFAH1B1/STS/PUM2/EMP1/BCR/IVL/CRABP2/KRT14/SULT2B1/TXNIP/SFN/KRT5/CSTA/CLDN4/MACROH2A2/KRT1/KRT10/PLEC/HES1/MAFB/LAMC2/ST14/ALOX12/KRT85/TCHH/ESRP1/ZFP36L1/LSR/TRADD/TGM1/DSP/FOXN1/CALML5/AQP3/BMP4/OVOL1/LAMB3/FLG/KLK7/LORICRIN/CDSN/SPINK5/KRT15/ABCA12/LAMA3/COL7A1/SLC39A2/TRIM16/CLDN1/GRHL2/AKR1C3/PPL/GAL/VDR/KLK5/TP63/ZNF750/ALOX12B/JAG1/PKP1/JAG2/ELOVL1/PKP3/PPP3CA/EVPL/EREG/GJB5/KLF4/KRT2/ALOXE3/LCE2B/ALOX15B/SPINT1/DSC1/MYO6/KRT31/IL18/FERMT1/COL17A1/TGM3/KRT7/POU2F3/EXPH5/SCEL/ALDH3A2/KPLCE/FGFR2",NA
"GO:0030216","keratinocyte differentiation",95,-0.648509374474372,-2.8844107006528,1e-10,1.072e-07,6.66648685435769e-08,2160,"tags=55%, list=17%, signal=46%","WNT16/WNT5A/SPRR2D/SPRR1B/KRT6A/KRT6B/FOXC1/NCOA3/PRKCH/BCR/IVL/KRT14/TXNIP/KRT5/CSTA/MACROH2A2/KRT1/KRT10/PLEC/MAFB/ST14/KRT85/TCHH/ZFP36L1/TGM1/DSP/FOXN1/AQP3/FLG/LORICRIN/CDSN/ABCA12/SLC39A2/TRIM16/GRHL2/AKR1C3/PPL/VDR/KLK5/JAG1/PKP1/PPP3CA/EVPL/EREG/KRT2/LCE2B/ALOX15B/TGM3/KRT7/POU2F3/EXPH5/SCEL",NA
"GO:0009913","epidermal cell differentiation",130,-0.601934091038952,-2.8321579252925,1e-10,1.072e-07,6.66648685435769e-08,1734,"tags=44%, list=13%, signal=38%","KRT6B/FOXC1/NCOA3/PRKCH/PAFAH1B1/BCR/IVL/KRT14/SULT2B1/TXNIP/SFN/KRT5/CSTA/MACROH2A2/KRT1/KRT10/PLEC/HES1/MAFB/ST14/KRT85/TCHH/ESRP1/ZFP36L1/TGM1/DSP/FOXN1/AQP3/BMP4/OVOL1/FLG/LORICRIN/CDSN/SPINK5/ABCA12/SLC39A2/TRIM16/GRHL2/AKR1C3/PPL/VDR/KLK5/JAG1/PKP1/JAG2/PPP3CA/EVPL/EREG/KRT2/LCE2B/ALOX15B/MYO6/TGM3/KRT7/POU2F3/EXPH5/SCEL",NA
"GO:0033490","cholesterol biosynthetic process via lathosterol",18,-0.866405253796851,-2.66970483770951,1.28749462387741e-09,9.85853026283276e-07,6.13076141795356e-07,915,"tags=67%, list=7%, signal=62%","FDPS/LSS/EBP/PMVK/MSMO1/MVD/NSDHL/HMGCS1/TM7SF2/DHCR7/HMGCR/DHCR24",0.788186810800237
"GO:0033489","cholesterol biosynthetic process via desmosterol",19,-0.825149467922386,-2.63325473922545,3.12013151756225e-08,1.04524405838335e-05,6.50009867052996e-06,915,"tags=58%, list=7%, signal=54%","FDPS/LSS/EBP/PMVK/MSMO1/MVD/NSDHL/HMGCS1/DHCR7/HMGCR/DHCR24",0.719512826338911
"GO:0098773","skin epidermis development",56,-0.664598741259578,-2.62364654599576,1.51177287053441e-10,1.35051709767741e-07,8.39851164016021e-08,1097,"tags=41%, list=8%, signal=38%","SFN/CLDN4/PLEC/ALOX12/LSR/TRADD/FOXN1/FLG/SPINK5/ABCA12/CLDN1/GAL/TP63/ALOX12B/ELOVL1/PKP3/KLF4/ALOXE3/DSC1/IL18/FERMT1/TGM3/FGFR2",0.826657301178302
"GO:0031424","keratinization",35,-0.722368504921558,-2.59795976014206,1.95387607428056e-09,1.16364175090487e-06,7.23638286901966e-07,2071,"tags=60%, list=16%, signal=51%","SPRR2D/SPRR1B/KRT6A/KRT6B/IVL/KRT5/KRT1/KRT10/KRT85/TCHH/TGM1/FLG/LORICRIN/CDSN/PPL/KLK5/EVPL/KRT2/LCE2B/TGM3/KRT7",0.774939030136436
"GO:0061436","establishment of skin barrier",20,-0.829355804302412,-2.58876500085851,2.86958531543275e-09,1.53809772907195e-06,9.56502639139515e-07,1097,"tags=75%, list=8%, signal=69%","SFN/CLDN4/PLEC/ALOX12/LSR/FLG/ABCA12/CLDN1/TP63/ALOX12B/ELOVL1/KLF4/ALOXE3/DSC1/IL18",0.774939030136436
"GO:0045103","intermediate filament-based process",72,-0.572151340659002,-2.39674721354781,5.72477628886963e-09,2.55706674236177e-06,1.59017274474533e-06,1747,"tags=42%, list=13%, signal=36%","DNAJB6/KRT17/KRT6B/SYNM/BBLN/AGFG2/KRT14/KRT5/KRT1/KRT10/PLEC/KRT85/TCHH/KRT33A/DSP/DST/MACF1/SYNC/CSNK1A1/KRT15/PPL/PKP1/EVPL/KRT2/KRT19/EPPK1/KRT31/KRT7/KRT23/DES",0.761460801445585
