"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,-0.710443957123097,-2.89313268544827,1e-10,5.57857142857143e-08,5.57857142857143e-08,2503,"tags=91%, list=25%, signal=69%","CFLAR/RPL4/RPL18/RPL13A/RPL13/RPL15/RPLP2/RPL10/RPL7A/RPL7/RPLP1/RPL18A/RPL6/RPL9/RPL19/RPL11/RPL29/RPL27A/RPL32/RPL23A/RPL41/RPL36/RPL35/RPL31/RPL14/RPL30/UBA52/RPL17/RPL36A/RPL37/RPL34/RPL39/RPL10A/RPL12/RPL27/RPL24/RPL37A/RPL38/RPL35A/RPL23/RPL28",NA
"GO:1901740","negative regulation of myoblast fusion",45,-0.710443957123097,-2.89313268544827,1e-10,5.57857142857143e-08,5.57857142857143e-08,2503,"tags=91%, list=25%, signal=69%","CFLAR/RPL4/RPL18/RPL13A/RPL13/RPL15/RPLP2/RPL10/RPL7A/RPL7/RPLP1/RPL18A/RPL6/RPL9/RPL19/RPL11/RPL29/RPL27A/RPL32/RPL23A/RPL41/RPL36/RPL35/RPL31/RPL14/RPL30/UBA52/RPL17/RPL36A/RPL37/RPL34/RPL39/RPL10A/RPL12/RPL27/RPL24/RPL37A/RPL38/RPL35A/RPL23/RPL28",NA
"GO:0042773","ATP synthesis coupled electron transport",67,-0.613206334849205,-2.74779747531548,1e-10,5.57857142857143e-08,5.57857142857143e-08,2771,"tags=72%, list=28%, signal=52%","NDUFC1/UQCRFS1/NDUFB3/NDUFS6/UQCRQ/SDHB/SDHAF2/NDUFB10/CHCHD2/NDUFA11/PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/COX7C/COX6C/NDUFB5/UQCRH/COX6B1/NDUFA2/COX7A2/COX8A/NDUFA6/COX4I1/NDUFS7/NDUFA12/CYC1/NDUFB7/NDUFV2/NDUFS4/UQCRB/NDUFAB1/NDUFA3/COX5A/COX7B/COX7A2L/NDUFB2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/NDUFB4/NDUFS8/NDUFB1/NDUFB6/NDUFB9",NA
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",67,-0.613206334849205,-2.74779747531548,1e-10,5.57857142857143e-08,5.57857142857143e-08,2771,"tags=72%, list=28%, signal=52%","NDUFC1/UQCRFS1/NDUFB3/NDUFS6/UQCRQ/SDHB/SDHAF2/NDUFB10/CHCHD2/NDUFA11/PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/COX7C/COX6C/NDUFB5/UQCRH/COX6B1/NDUFA2/COX7A2/COX8A/NDUFA6/COX4I1/NDUFS7/NDUFA12/CYC1/NDUFB7/NDUFV2/NDUFS4/UQCRB/NDUFAB1/NDUFA3/COX5A/COX7B/COX7A2L/NDUFB2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/NDUFB4/NDUFS8/NDUFB1/NDUFB6/NDUFB9",NA
"GO:0019646","aerobic electron transport chain",64,-0.607726332735708,-2.68716183692328,1.28335878919434e-10,6.26439508975486e-08,6.26439508975486e-08,1963,"tags=58%, list=20%, signal=47%","PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/COX7C/COX6C/NDUFB5/UQCRH/COX6B1/NDUFA2/COX7A2/COX8A/NDUFA6/COX4I1/NDUFS7/CYC1/NDUFB7/NDUFV2/NDUFS4/UQCRB/NDUFAB1/NDUFA3/COX5A/COX7B/COX7A2L/NDUFB2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/NDUFB4/NDUFS8/NDUFB1/NDUFB6/NDUFB9",0.826657301178302
"GO:0022900","electron transport chain",86,-0.566568865239223,-2.67299003325295,1e-10,5.57857142857143e-08,5.57857142857143e-08,1963,"tags=52%, list=20%, signal=42%","PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/COX7C/COX6C/NDUFA13/NDUFB5/UQCRH/COX6B1/NDUFA2/PLEC/COX7A2/COX8A/NDUFA6/COX4I1/NDUFS7/ETFA/NDUFA12/CYC1/NDUFB7/NDUFV2/NDUFS4/UQCRB/NDUFAB1/NDUFA3/C2orf69/COX5A/POR/COX7B/COX7A2L/NDUFB2/ENOX2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/NDUFB4/NDUFS8/HIGD2A/NDUFB1/NDUFB6/NDUFB9",NA
"GO:0022904","respiratory electron transport chain",80,-0.587511636248893,-2.66217945222546,1e-10,5.57857142857143e-08,5.57857142857143e-08,2305,"tags=59%, list=23%, signal=46%","SDHAF2/NDUFB10/CHCHD2/NDUFA11/PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/COX7C/COX6C/NDUFA13/NDUFB5/UQCRH/COX6B1/NDUFA2/PLEC/COX7A2/COX8A/NDUFA6/COX4I1/NDUFS7/ETFA/NDUFA12/CYC1/NDUFB7/NDUFV2/NDUFS4/UQCRB/NDUFAB1/NDUFA3/C2orf69/COX5A/COX7B/COX7A2L/NDUFB2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/NDUFB4/NDUFS8/HIGD2A/NDUFB1/NDUFB6/NDUFB9",NA
"GO:0002181","cytoplasmic translation",177,-0.491726711304662,-2.65317899705348,1e-10,5.57857142857143e-08,5.57857142857143e-08,2452,"tags=58%, list=24%, signal=44%","NPM1/RPL4/RPL18/RPS3A/GAPDH/CUL2/RPL13A/RPL13/RPS3/RBM4/RPL15/RPLP2/RPL10/EEF2/RPL7A/RPL7/RPLP1/RPL18A/RPS4X/RPL6/RPL9/MTOR/RPL19/RPS9/RPL11/RPS18/EIF3G/EEF1D/RPS27/RPL29/RPS14/EIF3A/RPS6/RPL27A/RPL32/RPL23A/GTPBP1/RPL41/RPL36/RPL35/RPL31/RPL14/RPS19/RPL30/RPS10/RPSA/RPS13/DRG2/RPS27A/UBA52/RPL17/RPL36AL/EIF3J/RPL36A/FMR1/FAU/RPS8/RPS15A/RPL37/RPL34/RPS12/RPS24/RPS15/RPS25/RPS7/RPL39/RPS29/RPS11/RPL10A/RPS16/EIF3E/RPL12/RPS23/RPS28/UNK/RPS21/MIF4GD/RPL27/ZC3H15/RPL24/RPL37A/RPL26/TRIP4/RPS20/RPL38/RPS5/YTHDF2/DDRGK1/RPL35A/RPL23/RPS17/EIF2AK2/UFSP2/RPL28/SYNCRIP/DHX36/SAYSD1/PELO/RPL22L1/RPS26/DHX29/PARP16",NA
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",37,-0.652307893945942,-2.64780275164327,7.64756172040034e-08,2.71488441074212e-05,2.71488441074212e-05,2117,"tags=62%, list=21%, signal=49%","NDUFA11/PARK7/NDUFA5/NDUFB8/NDUFC2/NDUFA8/NDUFB5/NDUFA2/NDUFA6/NDUFS7/NDUFB7/NDUFV2/NDUFS4/NDUFAB1/NDUFA3/NDUFB2/NDUFA1/ISCU/NDUFB4/NDUFS8/NDUFB1/NDUFB6/NDUFB9",0.704975715167238
"GO:0048525","negative regulation of viral process",55,-0.57992225759293,-2.59996259681769,1.61147579244346e-08,6.29281296949173e-06,6.29281296949173e-06,2242,"tags=60%, list=22%, signal=47%","IFITM2/FAM111A/BST2/APOBEC3D/OAS1/PPIA/APOBEC3H/CCL5/SP100/RNASEL/IL32/APOBEC3F/LARP7/ZC3HAV1/N4BP1/ISG20/TRIM11/TRIM27/SRPK1/ZFP36/APOBEC3G/APOBEC3C/PLSCR1/ISG15/IFIH1/OASL/EIF2AK2/OAS3/HEXIM1/IFIT1/MX1/RSAD2/VAPB",0.73376198835648
