"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,-0.50967862925529,-2.32932086754497,8.24641574466343e-08,1.01018592872127e-06,1.01018592872127e-06,2647,"tags=59%, list=26%, signal=44%","B2M/UBE2L6/CD47/ADAR/NUB1/PSME1/SAMD9L/EPSTI1/IL15/IFITM2/BST2/PSMA3/OAS1/CSF1/TXNIP/HLA-C/IFI35/PARP12/DDX60/HERC6/PSME2/IRF2/PARP14/IRF7/LY6E/ISG20/CASP1/IL4R/PLSCR1/ISG15/IFIT3/IFIH1/CNP/OASL/EIF2AK2/CASP8/LAP3/TRIM25/PSMB8/TRIM26/SELL/MX1/NMI/RSAD2/USP18/IFI44L/IFI44",0.704975715167238
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",113,-0.442897961565247,-2.19656988164718,1.92965926964616e-08,4.72766521063309e-07,4.72766521063309e-07,1592,"tags=39%, list=16%, signal=33%","NR4A2/TNFAIP3/BTG1/BIRC3/JUN/MXD1/CD44/EIF1/PFKFB3/DUSP2/SERPINE1/SOD2/CCL4/F2RL1/TGIF1/DUSP1/SGK1/PPP1R15A/ZFP36/KLF6/GCH1/SMAD3/PTPRE/JUNB/IFIH1/SAT1/B4GALT1/ATP2B1/PHLDA1/EGR1/BTG3/FOS/FOSB/KDM6B/ZC3H12A/TRIB1/DUSP4/TIPARP/PDE4B/PER1/NR4A3/GADD45B/SIK1/ATF3",0.73376198835648
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",153,-0.413972593218681,-2.12534265794766,9.61154062560107e-10,4.70965490654453e-08,4.70965490654453e-08,2335,"tags=47%, list=23%, signal=37%","SAMD9L/EPSTI1/IL15/EIF4E3/IFITM2/HLA-A/BST2/ST8SIA4/PSMA3/NAMPT/HLA-B/TXNIP/VAMP5/CCL5/IFI35/PELI1/HLA-DRB1/PARP12/DDX60/TNFSF10/HERC6/RNF213/TNFAIP3/BTG1/PSME2/CASP7/APOL6/IRF2/VAMP8/ZBP1/PARP14/SOD2/IRF7/LY6E/ISG20/CASP1/HLA-DQA1/MT2A/SRI/IL4R/GCH1/PLSCR1/FGL2/GZMA/TOR1B/ISG15/IFIT3/IFIH1/OASL/EIF2AK2/CASP8/LAP3/VCAM1/MTHFD2/TRIM25/ST3GAL5/OAS3/PSMB8/BPGM/TRIM26/SECTM1/NOD1/MX2/IFIT1/MX1/PDE4B/NMI/RSAD2/PNP/USP18/IFI44L/IFI44",0.788186810800237
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",172,-0.374275228923606,-1.92304451175341,4.24638349140492e-08,6.93575970262803e-07,6.93575970262804e-07,1949,"tags=42%, list=19%, signal=34%","NDUFA5/HSPA9/ATP6V0E1/NDUFB8/MRPS12/NDUFC2/NDUFA8/ACAT1/COX7C/MTRR/COX6C/NDUFB5/UQCRH/COX6B1/NDUFA2/COX7A2/DLD/TIMM10/VDAC3/COX8A/NDUFA6/COX4I1/CASP7/SLC25A5/NDUFS7/ATP6V1E1/ETFA/HSD17B10/CYC1/ACADM/NDUFB7/POLR2F/TIMM9/ATP6V0C/GRPEL1/MGST3/SLC25A3/TIMM8B/NDUFV2/TOMM22/NDUFS4/TIMM13/ALAS1/UQCRB/NDUFAB1/NDUFA3/COX10/COX5A/PRDX3/POR/COX7B/VDAC1/COX7A2L/SUCLA2/ECHS1/NDUFA4/NDUFB2/UQCR10/NDUFA1/UQCR11/ISCU/COX6A1/MRPS15/MPC1/NDUFB4/NDUFS8/COX17/NDUFB1/DLST/BAX/NDUFB6/ACAA2",0.719512826338911
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",33,-0.499004386714227,-1.87402539659831,0.000889224125117809,0.00726199702179544,0.00726199702179544,1719,"tags=36%, list=17%, signal=30%","SOD1/PRDX1/NDUFA6/LAMTOR5/SOD2/JUNB/TXN/HMOX2/STK25/NDUFB4/GLRX/ATOX1",0.477270815362862
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",121,-0.32259546657795,-1.60062594458844,0.00029838844492336,0.00292420676024893,0.00292420676024893,1125,"tags=26%, list=11%, signal=24%","IFNGR1/ICOS/CST7/MAPKAPK2/BCL2L1/SH3BGRL2/FLT3LG/CD81/PLAGL1/IL4R/KLF6/PHTF2/PLSCR1/FGL2/DCPS/AMACR/GABARAPL1/CCND2/GPR65/PHLDA1/BCL2/SELL/F2RL2/NFKBIZ/IKZF2/HIPK2/IKZF4/ITGAE/GADD45B/PNP/ADAM19/PLIN2",0.49849310876659
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",107,-0.322670537225927,-1.5995013016105,0.00146592016118081,0.0102614411282657,0.0102614411282657,1807,"tags=36%, list=18%, signal=29%","RNASEL/HMOX1/ADD1/TNFSF10/SOD1/PEA15/BIRC3/JUN/CASP7/F2R/CD44/GPX1/CDKN1B/BCAP31/SOD2/IFNGR1/BCL2L1/ISG20/CASP1/CREBBP/GCH1/TSPO/SAT1/CCND2/CASP8/NEDD9/BTG3/LGALS3/DNAJA1/FASLG/BAX/DDIT3/GSTM1/GADD45B/EBP/ANXA1/PMAIP1/ATF3",0.45505986738723
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",53,0.451647794527997,1.46216876757109,0.0294464075382803,0.169603668283993,0.169603668283992,786,"tags=21%, list=8%, signal=19%","DST/IGFBP4/PLOD1/CALD1/RGS4/GPX7/CADM1/FGF2/PLOD3/CAPG/FBLN1",0.287857117255149
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",58,0.4250157479206,1.41710171978775,0.048780487804878,0.217294900221729,0.217294900221729,2140,"tags=29%, list=21%, signal=23%","MYOG/AEBP1/RB1/AGRN/HDAC5/ACSL1/SORBS1/FGF2/MRAS/TNNI1/SCD/WWTR1/SH2B1/PDLIM7/SPTAN1/NQO1/BIN1",0.219250346703755
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",67,-0.305059253286221,-1.34741751046497,0.0322295649952991,0.169603668283993,0.169603668283992,1626,"tags=30%, list=16%, signal=25%","FKBP5/ADRM1/ELOVL5/MYL12A/UBE2J1/FADS1/DBI/SGK1/PGM3/ELL2/INSIG1/APPBP2/CAMKK2/SAT1/B4GALT1/NGLY1/TARP/SEC24D/CDK6/AKAP12",0.321775918075361
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",77,0.387363736962744,1.3266143992257,0.0850828729281768,0.320696982575436,0.320696982575436,2275,"tags=29%, list=23%, signal=22%","TOP2A/IGFBP4/MYB/CA12/CAV1/NBL1/SLC27A2/LSR/SLC16A1/METTL3/STIL/SIAH2/ALDH3B1/TMPRSS3/JAK2/UGDH/FKBP4/CDC6/KCNK5/SNX10/DCXR/IDH2",0.158514105424824
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",103,-0.26307819138868,-1.30484869779442,0.0346129935273454,0.169603668283993,0.169603668283992,1264,"tags=27%, list=13%, signal=24%","PFKFB3/CDKN1B/SERPINE1/S100A4/KLF7/ETS1/ISG20/DUSP1/PPP1R15A/MT2A/ZFP36/KLF6/UGP2/CXCR4/SLC6A6/MAP3K1/PGM2/BCL2/FOS/RBPJ/GLRX/DDIT3/TIPARP/MT1E/CITED2/AKAP12/PLIN2/ATF3",0.321775918075361
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",119,-0.251489420693141,-1.26326677340861,0.0552878990812666,0.225758921248505,0.225758921248505,2460,"tags=42%, list=24%, signal=32%","LDHB/DDIT4/CCND3/RPL18/NOTCH1/CDKN2AIP/RPS27L/RETSAT/PMM1/CD82/MAPKAPK3/TXNIP/EPS8L2/TP53/SP1/HMOX1/RPL36/CTSD/TSPYL2/BTG1/RHBDF2/JUN/MXD1/F2R/RPS12/VAMP8/S100A4/DNTTIP2/EI24/HINT1/CASP1/CD81/PPP1R15A/PTPRE/DDB2/SAT1/RALGDS/CCND2/ISCU/FOS/CDKN2A/MKNK2/S100A10/BAX/HEXIM1/DDIT3/AEN/PRKAB1/TOB1/ATF3",0.321775918075361
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",13,-0.414179869649726,-1.21512636954968,0.209059233449477,0.465631929046563,0.465631929046563,2023,"tags=38%, list=20%, signal=31%","SRP9/AKT3/SPCS1/FOXO1/G6PC2",0.181383128498408
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",68,0.363844390523332,1.21385302686069,0.173165137614679,0.413855640188611,0.413855640188611,1470,"tags=18%, list=15%, signal=15%","TOP2A/ABCC5/SLC25A4/CADM1/SLC27A2/ACSL1/YWHAH/PEX11A/ABCD2/EHHADH/HSD17B4/SLC25A17",0.108394255853397
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",102,-0.24477787719839,-1.20663832085187,0.176699956754133,0.413855640188611,0.413855640188611,2208,"tags=38%, list=22%, signal=30%","FN1/HSPA5/GNG2/PLEK/GZMK/CCL5/CTSC/GRB2/DYRK2/LIPA/USP15/APOBEC3F/CTSD/TNFAIP3/STX4/PPP4C/CASP7/CD59/CSRP1/IRF2/CD55/SERPINE1/ZEB1/IRF7/CALM1/CASP1/RHOG/APOBEC3G/PLSCR1/GZMA/LAP3/CTSO/GZMB/DUSP6/ERAP2/LGALS3/PIK3R5/SPOCK2/ATOX1",0.249246554383295
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",46,-0.286735896793337,-1.18899502771371,0.159509202453988,0.413855640188611,0.413855640188611,952,"tags=20%, list=9%, signal=18%","SGK1/SPHK2/IFNG/MFSD6/MSH5/BARD1/MX1/RSAD2/IFI44L",0.282013350011725
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",91,0.341085700830394,1.18606230135893,0.177366702937976,0.413855640188611,0.413855640188611,1120,"tags=19%, list=11%, signal=17%","IGFBP4/APOE/TMEM97/IRF8/NFS1/MAN1A1/SLC35B1/TYR/ARG2/FBLN1/DHRS1/BPHL/GCNT2/TTPA/ABCD2/MTHFD1/CSAD",0.103576326612592
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",89,-0.249703415217719,-1.17962077716873,0.0939900345622222,0.328965120967778,0.328965120967778,2528,"tags=33%, list=25%, signal=25%","DNAJC3/FUS/NPM1/DDIT4/EIF4A3/HSPA5/EEF2/SEC31A/WIPI1/HSPA9/RPS14/CNOT2/YIF1A/XPOT/CALR/TSPYL2/SPCS1/NOP56/CXXC1/HYOU1/EXOC2/NHP2/ERN1/HERPUD1/ATP6V0D1/MTHFD2/EXOSC1/IFIT1/ATF3",0.287805130535564
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",74,-0.255669778202398,-1.16205863142373,0.168768898554981,0.413855640188611,0.413855640188611,1132,"tags=24%, list=11%, signal=22%","F2RL1/ETS1/ADAM8/ADAM17/PPP1R15A/CXCR4/FLT4/CCND2/MAP3K1/PRDM1/DUSP6/PSMB8/BPGM/TRIB1/GLRX/CROT/ITGA2/AKAP12",0.249246554383295
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",181,-0.21496504141122,-1.11199701088039,0.11152213793907,0.341536547438401,0.341536547438401,2483,"tags=34%, list=25%, signal=26%","PABPC4/PA2G4/NPM1/BUB3/RPL18/TRA2B/MCM5/GSPT1/APEX1/TCP1/RPS3/EXOSC7/NAP1L1/RAN/HSPE1/SRSF7/HNRNPA3/RPL6/PPIA/CTPS1/MCM6/HSP90AB1/FBL/RPS6/PSMC4/XPOT/PSMD3/EEF1B2/RPL14/LSM7/RPS10/NOP56/RRM1/KPNB1/VDAC3/HPRT1/EIF3J/PRPS2/RPL34/CBX3/CYC1/SNRPD1/CCT5/SLC25A3/ERH/NHP2/POLD2/TRIM28/NDUFAB1/SRPK1/RPS5/COX5A/PRDX3/SRSF3/VDAC1/SF3A1/DUT/SYNCRIP/PSMD14/UBA2/CAD",0.287805130535564
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",131,-0.225085251086509,-1.08299488739632,0.106734675268358,0.341536547438401,0.341536547438401,2954,"tags=47%, list=29%, signal=34%","ELF4/STAT4/CD8B/ITGB2/HLA-DMA/HLA-G/TAP1/CD74/SIT1/CD8A/SRGN/B2M/CD47/IKBKB/IFNAR2/CD2/GLMN/IL2RG/HLA-E/NPM1/CCND3/RPS3A/CD3G/HLA-DRA/APBB1/CD247/IL15/HLA-A/CD7/BCL10/ST8SIA4/CSF1/RPL9/CCL5/RPS9/EIF3A/EIF5A/RPS19/FLNA/CD3E/EIF3J/CD3D/F2R/GALNT1/RPL39/CCL4/IFNGR1/ETS1/IRF7/CSK/HLA-DQA1/IFNG/IL4R/GZMA/CXCL13/CCND2/GPR65/GZMB/CDKN2A/FASLG/CCR5/CCR1",0.287805130535564
