"","DSG3_group","DSG3_EPITHELIAL_MESENCHYMAL_TRANSITION1","DSG3_INFLAMMATORY_RESPONSE1","DSG3_TNFA_SIGNALING_VIA_NFKB1","DSG3_INTERFERON_GAMMA_RESPONSE1","DSG3_APOPTOSIS1","DSG3_MYC_TARGETS_V11","DSG3_OXIDATIVE_PHOSPHORYLATION1"
"CY58_1_CD45_B02_S974_comb","DSG3_neg",-0.0333857484294006,0.0713781426735358,0.0911797569787266,0.156917038335936,0.0413166092209335,0.138370711084479,-0.0204308844437993
"Cy74_CD45_A03_S387_comb","DSG3_neg",-0.00583851712922048,0.0828988140817452,0.10044260758719,0.345174036618417,0.028209358543844,0.167992840795014,0.0241053187787411
"Cy71_CD45_B07_S499_comb","DSG3_neg",-0.0305971152658005,0.0890385300868151,0.11402782958007,0.258822407293275,0.0735578783761386,0.245908473445933,0.0606926875521939
"CY58_1_CD45_A06_S966_comb","DSG3_pos",-0.0315747844444328,0.0239581629613954,0.109972525250058,0.168942810623151,-0.00269394059456596,0.141805582260165,-0.0236828609758348
"Cy74_CD45_F07_S451_comb","DSG3_neg",-0.00924369442618153,0.0183554205256187,-0.00331657558614573,0.170782500432585,0.0664561575083933,0.10318843472987,0.107768875437205
"Cy74_CD45_C02_S410_comb","DSG3_neg",0.0268200627344262,0.0437067297859365,0.0845003159764043,0.411586567861456,0.0717168798134996,0.251978669159345,0.205642974313158
"Cy74_CD45_A08_S392_comb","DSG3_neg",-0.0182901990072638,0.0528366947117672,0.0960713470976621,0.221786647589537,0.075930469273033,0.183059644348076,0.0156389422597457
"Cy74_CD45_E06_S438_comb","DSG3_neg",-0.00935860141326733,0.0311192708177371,0.116737574693835,0.18283544111654,0.171100081740172,0.249438499820073,0.104577572904219
"Cy74_CD45_F01_S445_comb","DSG3_pos",-0.00908975653024163,0.0428625250700248,0.112886219995446,0.185242223905871,0.109159263883694,0.244380469676791,0.00685032304008415
"Cy74_CD45_D01_S421_comb","DSG3_neg",0.03139613019142,0.046407692008661,0.0708669269030012,0.241745687234775,0.145253921986262,0.174229206820067,0.076523892301777
"Cy81_FNA_CD45_A03_S195_comb","DSG3_pos",-0.0381638359566054,0.00847721587344907,-0.0546431383572099,0.103511871573508,-0.0333091510819377,0.0664147461318493,0.0426182922186596
"Cy74_CD45_F08_S452_comb","DSG3_neg",-0.0211758332655839,0.163852557265209,0.115623155235417,0.311892919155021,0.0423515099026228,0.176425350874545,0.0507379116712423
"Cy74_CD45_H06_S474_comb","DSG3_neg",-0.0186519509242226,0.00200387743984437,-0.0342600832524892,0.316882762032105,0.0680030421627373,0.576011653180757,0.220536808257307
"CY58_1_CD45_G11_S1043_comb","DSG3_pos",-0.0337827785936562,0.0703528237187068,0.139889513759475,0.173766915085241,0.0431694216804154,0.153235732888906,-0.0439623505866367
"Cy71_CD45_F03_S543_comb","DSG3_neg",-0.0564295587209369,0.0718891218196287,0.177881806679238,0.169334304069495,0.149964751127266,0.242736291572424,0.0698461927233899
"CY58_1_CD45_E05_S1013_comb","DSG3_neg",-0.00438665640098992,0.080852682496371,0.0754516281945746,0.181219627172972,0.164144305498263,0.224867333128017,0.0305934421081338
"CY58_1_CD45_F04_S1024_comb","DSG3_pos",-0.049504604746634,0.0277214195186718,0.0411629487493564,0.170527586255956,0.114989961203511,0.141911691910977,0.0533076561481963
"Cy81_FNA_CD45_F04_S256_comb","DSG3_neg",-0.0178398766571349,0.0542910187214882,0.0225225614141636,0.133329760456022,0.0806536652024183,0.0822222296543709,0.104715503491454
"CY58_1_CD45_A04_S964_comb","DSG3_pos",-0.0505456278663093,0.0428620485472247,0.0481292617345044,0.15886412344982,-0.0122964455825003,0.199252775189548,-0.0944836358806848
"Cy74_CD45_G07_S463_comb","DSG3_pos",-0.00335185323247561,0.0851775890215671,0.149568416915267,0.215404123213142,0.106920696079759,0.15977268570412,0.0487193553770996
"Cy74_CD45_H02_S470_comb","DSG3_pos",-0.0257225887052892,0.0589358810696819,0.0473418672905993,0.267695301388336,0.0671619745507419,0.506669070736299,0.17279801159578
"CY58_1_CD45_B08_S980_comb","DSG3_pos",-0.0375205505955394,0.115894742055204,0.111654913724509,0.17401548470512,0.028136526197088,0.242124740258891,0.048545917698756
"Cy74_CD45_A02_S386_comb","DSG3_neg",-0.026647730753812,0.0714920520173108,0.0571017576170836,0.161897208528558,0.0767426288573018,0.239289962936582,0.0631795868792808
"Cy74_CD45_E02_S434_comb","DSG3_neg",0.0017830621468983,0.0895832316053338,0.0913653212922915,0.16758213268712,-0.0216810090808279,0.198818181681857,-0.0273704268880073
"Cy81_FNA_CD45_B01_S205_comb","DSG3_pos",0.0879334190598319,0.080993186058773,0.106283884106432,0.106749228759127,0.14470838974207,0.293908771585015,0.166967480195918
"CY58_1_CD45_H11_S1055_comb","DSG3_pos",-0.0241547815700079,0.0162716247848677,0.125227184618548,0.171686919189266,0.0680649898817237,0.0430091976313657,-0.0714661368067974
"Cy71_CD45_D05_S521_comb","DSG3_neg",-0.00276559763279004,0.140453806946256,0.234634214837859,0.302473968841979,0.110342091033178,0.219812766292821,0.0402144740336384
"Cy74_CD45_E07_S439_comb","DSG3_pos",0.0302672660591682,0.0496973557276662,0.0400168731269613,0.503012603574046,0.0916043601025225,0.315447724702092,0.05014369412624
"CY58_1_CD45_C02_S986_comb","DSG3_neg",-0.0394332568040226,0.0706392509931346,0.0940282421450689,0.164622748092177,-0.00631102234021952,0.483527730118535,-0.0187559988980331
"Cy74_CD45_F04_S448_comb","DSG3_pos",0.0114849699556528,0.0519790293132804,0.0529597326688736,0.319576179039412,0.138018569541772,0.295834285488454,0.0911369329198043
"Cy74_CD45_G10_S466_comb","DSG3_pos",-0.0269311842339541,-0.0091726406305917,0.122865480082464,0.209043851669115,0.0295286214282955,0.19947453364085,-0.0153368447157386
"Cy81_FNA_CD45_C03_S219_comb","DSG3_pos",-0.0333685091842383,0.0581931121888031,0.0122815085572075,0.250188125857082,0.0312514802537432,0.16996323305971,-0.0709650219713498
"CY58_1_CD45_B11_S983_comb","DSG3_pos",-0.0219578912900095,0.0835161709785121,0.196064768718585,0.224484758619923,0.0520977981945808,0.21062963816493,-0.0401373375863305
"Cy71_CD45_F04_S544_comb","DSG3_neg",-0.0321013100373884,0.1428870755837,0.187246146622186,0.314966027447145,0.101007528689653,0.257411323188736,-0.0443780239129783
"CY58_1_CD45_D07_S1003_comb","DSG3_neg",-0.0346608323702377,0.051984865376839,0.0921506836782933,0.237288145322453,0.0859109121687116,0.175728827664149,0.0657497716400032
"Cy81_FNA_CD45_C01_S217_comb","DSG3_neg",0.177888978809375,0.0794869589398845,0.114326676152344,0.109612044459293,0.128683073814256,0.397929586083904,0.267319732729988
"CY58_1_CD45_C07_S991_comb","DSG3_neg",-0.0259875115685879,0.0747521265870626,0.0854338281469963,0.221849515732461,0.163089765725365,0.173773908079531,0.0502669480063413
"Cy74_CD45_D09_S429_comb","DSG3_neg",-0.0506031290315293,0.00180865220384746,0.108980499237457,0.0965291408317873,0.175967535701933,0.153586499964569,0.0454914277542942
"CY58_1_CD45_G07_S1039_comb","DSG3_pos",-0.0209703748440279,0.060277593721758,0.138863038963038,0.249113890766657,0.0531074368778595,0.29446984059628,0.171923967864523
"Cy71_CD45_F12_S552_comb","DSG3_pos",0.00304929481644348,0.0409049781947664,0.077166352985879,0.139131820767234,0.0217863512453056,0.205744669109017,-0.123691042320326
"Cy74_CD45_A11_S395_comb","DSG3_pos",0.00702087079075878,0.05701600597359,0.142911820339036,0.262906935046215,0.0310928269953422,0.324222719974734,0.088533513016255
"CY58_1_CD45_C10_S994_comb","DSG3_neg",0.0330010216312672,0.0741347303721714,0.107287996663408,0.112494627884365,0.0590187123514613,0.165638078238947,-0.0587600910806081
"CY58_1_CD45_G04_S1036_comb","DSG3_neg",-0.055877954463123,0.0213401329677081,0.0527845517604922,0.195742957388242,0.0283689480520452,0.0786744010900192,-0.172459620743907
"Cy71_CD45_E01_S529_comb","DSG3_neg",0.00258704038448233,0.0451184282817007,0.118657670182013,0.170938082429307,0.135248548135518,0.173600108981611,0.0134057985340899
"Cy71_CD45_C06_S510_comb","DSG3_pos",-0.0127908513342701,0.121108272571919,0.0802358333018937,0.150482396150687,0.0334046534490827,0.243387037250143,-0.0378303119041838
"Cy74_CD45_H11_S479_comb","DSG3_neg",-0.000848812737519938,0.0822756434142353,0.182184543523074,0.192835451026656,0.13864157637679,0.116453879534173,0.0352317891017425
"Cy74_CD45_C01_S409_comb","DSG3_pos",0.0310656690543411,0.0910209715449111,0.189921197905465,0.244438652813597,0.159275390006552,0.249587605377792,0.00642664906946488
"Cy74_CD45_D06_S426_comb","DSG3_neg",-0.00218962947325674,0.0774227055581786,0.0836259498443471,0.161941661324191,0.0369099960636389,0.224095143278452,0.0787059909881838
"Cy74_CD45_C04_S412_comb","DSG3_neg",-0.0179019512950111,0.108655720730959,0.230691694985265,0.302643719412282,0.0534351027073606,0.312832696866788,0.128718077282595
"CY58_1_CD45_B04_S976_comb","DSG3_pos",-0.0380147771954682,0.122587433875735,0.0621635462824355,0.114683833678926,0.00872734571244638,0.231940492112144,0.10105938617018
"CY58_1_CD45_F07_S1027_comb","DSG3_pos",-0.0597644082727167,0.0288079906777369,0.0764663452139976,0.159856562718634,-0.0104030203640995,0.0774666379629541,0.0925081459831614
"Cy74_CD45_E09_S441_comb","DSG3_neg",0.02181450223769,0.0775943303523173,0.157815763073042,0.223787795355133,0.0580016123887444,0.159376246730973,0.0408683508540787
"Cy74_CD45_F06_S450_comb","DSG3_pos",-0.0307242712795338,0.0740443296263931,0.0919135181363135,0.219455441674361,0.114715490756731,0.213387595948671,0.0855165533834685
"Cy74_CD45_C09_S417_comb","DSG3_pos",-0.0638876044131078,0.0442004561510498,0.14091177368705,0.18730305352064,-0.00840051873147107,0.2868561852045,-0.0867034565621306
"Cy74_CD45_B10_S406_comb","DSG3_neg",0.00346583557375393,0.0417567035088618,0.0718543543547539,0.188307713911319,0.0660942720993562,0.132274893423265,0.00368390896890508
