"Cell","Cell_Type","Pseudotime"
"Cy72_CD45_H02_S758_comb","B cells",32.0285120468619
"CY58_1_CD45_B02_S974_comb","Melanoma cells",NA
"Cy71_CD45_D08_S524_comb","Fibroblasts",11.979601600191
"Cy81_FNA_CD45_B01_S301_comb","NK cells",NA
"Cy80_II_CD45_B07_S883_comb","Other",NA
"Cy81_Bulk_CD45_B10_S118_comb","NK cells",NA
"Cy72_CD45_D09_S717_comb","Keratinocytes",0.676814956592048
"Cy74_CD45_A03_S387_comb","Melanoma cells",NA
"Cy71_CD45_B05_S497_comb","Fibroblasts",NA
"Cy80_II_CD45_C09_S897_comb","Other",NA
"Cy74_CD45_F09_S453_comb","Endothelial",NA
"CY58_1_CD45_D03_S999_comb","Keratinocytes",1.58463018472227
"Cy72_CD45_C01_S697_comb","Keratinocytes",0.0981030446417569
"Cy71_CD45_D07_S523_comb","Endothelial",NA
"Cy81_FNA_CD45_C12_S228_comb","Endothelial",1.32532698362069
"Cy81_FNA_CD45_E05_S341_comb","NK cells",NA
"Cy74_CD45_D04_S424_comb","Endothelial",NA
"Cy74_CD45_C11_S419_comb","Endothelial",NA
"Cy81_Bulk_CD45_E10_S154_comb","NK cells",NA
"Cy80_II_CD45_H07_S955_comb","Other",NA
"CY58_1_CD45_F01_S1021_comb","Pericytes",25.0859944685023
"Cy81_FNA_CD45_D09_S333_comb","NK cells",NA
"Cy71_CD45_E12_S540_comb","Fibroblasts",11.8509743299316
"Cy81_FNA_CD45_D07_S235_comb","Keratinocytes",0.668454061897354
"Cy72_CD45_D07_S715_comb","Keratinocytes",2.7656241597118
"Cy72_CD45_E08_S728_comb","Keratinocytes",0.941804218518141
"Cy71_CD45_B07_S499_comb","Melanoma cells",NA
"Cy71_CD45_G02_S554_comb","Fibroblasts",11.8770635068371
"Cy71_CD45_E03_S531_comb","Fibroblasts",NA
"Cy74_CD45_H03_S471_comb","Fibroblasts",NA
"Cy81_Bulk_CD45_B11_S119_comb","NK cells",NA
"Cy80_II_CD45_H09_S957_comb","Other",NA
"Cy72_CD45_E02_S722_comb","Keratinocytes",1.81907727201121
"Cy72_CD45_D03_S711_comb","Pericytes",27.4302866769818
"Cy80_II_CD45_B11_S887_comb","Other",NA
"Cy81_Bulk_CD45_B07_S115_comb","NK cells",NA
"Cy81_Bulk_CD45_E04_S148_comb","NK cells",NA
"CY58_1_CD45_A06_S966_comb","Melanoma cells",NA
"Cy80_II_CD45_D11_S911_comb","Other",NA
"Cy81_FNA_CD45_A09_S201_comb","Endothelial",NA
"Cy81_FNA_CD45_B12_S216_comb","Keratinocytes",2.97778416779978
"Cy71_CD45_B08_S500_comb","Keratinocytes",1.32358014186075
"Cy81_FNA_CD45_G10_S370_comb","NK cells",NA
"Cy71_CD45_E11_S539_comb","Fibroblasts",NA
"Cy81_FNA_CD45_C09_S321_comb","NK cells",NA
"CY58_1_CD45_D11_S1007_comb","Endothelial",2.7656241597118
"Cy80_II_CD45_G07_S943_comb","Other",NA
"Cy72_CD45_F12_S744_comb","Keratinocytes",0.836440802485056
"Cy80_II_CD45_G05_S941_comb","Other",16.4849735956718
"Cy72_CD45_C07_S703_comb","Keratinocytes",0.690131272876178
"Cy71_CD45_G08_S560_comb","Other",NA
"Cy72_CD45_H07_S763_comb","Pericytes",26.1474864154212
"Cy74_CD45_F07_S451_comb","Melanoma cells",NA
"Cy71_CD45_F06_S546_comb","Fibroblasts",11.9642898822171
"Cy81_FNA_CD45_B04_S208_comb","Endothelial",NA
"Cy81_Bulk_CD45_D09_S141_comb","NK cells",NA
"Cy74_CD45_C02_S410_comb","Melanoma cells",NA
"Cy81_Bulk_CD45_D01_S133_comb","NK cells",NA
"Cy81_FNA_CD45_G01_S265_comb","Keratinocytes",NA
"Cy81_FNA_CD45_D02_S230_comb","Keratinocytes",0.427095731365921
"Cy81_Bulk_CD45_D10_S142_comb","NK cells",NA
"CY58_1_CD45_A10_S970_comb","Keratinocytes",3.30956593252956
"Cy81_FNA_CD45_C05_S317_comb","NK cells",NA
"Cy72_CD45_D12_S720_comb","Keratinocytes",0.287318710863211
"Cy80_II_CD45_B01_S877_comb","Other",NA
"CY58_1_CD45_F11_S1031_comb","Keratinocytes",1.82094251095528
"Cy81_Bulk_CD45_G12_S180_comb","NK cells",NA
"Cy81_FNA_CD45_F01_S253_comb","NK cells",NA
"Cy74_CD45_A08_S392_comb","Melanoma cells",NA
"Cy71_CD45_G06_S558_comb","Fibroblasts",3.78605352258321
