"","Melanoma"
"MEblue",1.0125367437794e-08
"MEtan",0.0336757597273827
"MEmagenta",2.98353123824674e-21
"MEpurple",0.00229059251880164
"MElightcyan",0.000869707769497902
"MEgreen",0.134585726872424
"MEgreenyellow",4.76620193978048e-10
"MEbrown",2.02846278169771e-24
"MEcyan",0.0103309645695982
"MEmidnightblue",2.48556728621132e-06
"MEyellow",2.6742007970248e-08
"MEblack",0.00939728340404838
"MEred",0.0392573447446118
"MEsalmon",0.000100831954091101
"MEpink",0.0200039388257651
"MEturquoise",0.955284358976939
"MEgrey",0.00044971807531959
