"Module","Correlation","Pvalue"
"MEbrown",-0.613180118240797,2.02846278169771e-24
"MEmagenta",0.577721949818891,2.98353123824674e-21
"MEgreenyellow",-0.401540782326316,4.76620193978048e-10
"MEblue",0.371860922031695,1.0125367437794e-08
"MEyellow",0.361769491689983,2.6742007970248e-08
"MEmidnightblue",0.309328447895321,2.48556728621132e-06
"MEsalmon",-0.257442704094867,0.000100831954091101
"MEgrey",0.233048897284346,0.00044971807531959
"MElightcyan",0.22143653042866,0.000869707769497902
"MEpurple",0.203230566951924,0.00229059251880164
"MEblack",-0.173578116749717,0.00939728340404838
"MEcyan",-0.171425228817858,0.0103309645695982
"MEpink",-0.155702590289003,0.0200039388257651
"MEtan",-0.14230417362233,0.0336757597273827
"MEred",-0.138160580074312,0.0392573447446118
"MEgreen",0.100507984359077,0.134585726872424
"MEturquoise",0.00377607423948179,0.955284358976939
