"Gene","Module","GS","GS.Pvalue","MM","MM.Pvalue"
"DSC3","brown",-0.52250804645494,5.06644771664773e-17,0.93328212226592,2.97399944402367e-100
"GATA3","brown",-0.610328550013497,3.77322589195722e-24,0.924107779624552,2.70609461745731e-94
"TACSTD2","brown",-0.515301938105282,1.59109558094262e-16,0.924070809026547,2.84977318317107e-94
"ANXA8L1","brown",-0.527193595454818,2.37229531456845e-17,0.922628716115661,2.10086771744579e-93
"FGFR3","brown",-0.604295202780879,1.37443641401028e-23,0.921201691953891,1.46042722238205e-92
"TP63","brown",-0.525309845280775,3.22303434515409e-17,0.91796176743353,1.04395020609342e-90
"KLK11","brown",-0.516920774638694,1.23330525707952e-16,0.915442212391029,2.56124231939389e-89
"C1orf116","brown",-0.654196189174134,1.27507142365366e-28,0.910187345708899,1.48734149770933e-86
"AQP3","brown",-0.476488425953933,4.85376334971992e-14,0.909161679798273,4.92105390692005e-86
"PKP1","brown",-0.519017136520455,8.84984532598408e-17,0.90678579096794,7.45526025965322e-85
"EVPL","brown",-0.550333678973703,4.68403785420542e-19,0.905439684054546,3.36721969034426e-84
"PPP1R13L","brown",-0.626587866710743,1.00530008831286e-25,0.90396754787716,1.70700785079266e-83
"TRIM29","brown",-0.462268975562884,3.31450750407545e-13,0.903720777610582,2.23506899132261e-83
"SERPINB5","brown",-0.476211960558482,5.04279377142885e-14,0.903654816680338,2.40173944023195e-83
"DUOX1","brown",-0.465982749371043,2.02404678711e-13,0.902167204169735,1.19959599929521e-82
"GJB3","brown",-0.499010292656349,1.91843508045149e-15,0.900797179417157,5.15800827213464e-82
"SCNN1A","brown",-0.559323454561929,9.37812012292354e-20,0.900516715203536,6.93454544740218e-82
"KRT15","brown",-0.511882606257167,2.71293303202645e-16,0.900206177903121,9.61369485265449e-82
"EGFR","brown",-0.578821532292654,2.4112151189547e-21,0.898245481131175,7.37928746903761e-81
"LY6D","brown",-0.463559618137903,2.79429504295567e-13,0.893278588533938,1.07591068630302e-78
"DEFB1","brown",-0.520855182708631,6.60300341650478e-17,0.88958292664256,3.74538108744362e-77
"SPINK5","brown",-0.423036829438457,4.28156084403905e-11,0.88696128744917,4.30762445336291e-76
"LYPD3","brown",-0.425025563404972,3.39607217281853e-11,0.885890909254066,1.14764535509987e-75
"RAB25","brown",-0.443410252144593,3.70708468831359e-12,0.88576367649664,1.28857772740986e-75
"KRT23","brown",-0.559364536002473,9.30840139665008e-20,0.884678655340588,3.44090354979562e-75
"EPHB6","brown",-0.584334080700506,8.18913549650643e-22,0.88461388497362,3.64754345007389e-75
"BBOX1","brown",-0.529240722555542,1.69663411588799e-17,0.883279785801307,1.20320351943323e-74
"PPL","brown",-0.492211015547285,5.21737588707523e-15,0.882476636779998,2.45100104819552e-74
"HOPX","brown",-0.534770340265666,6.78255453803005e-18,0.881642311385353,5.10458889507037e-74
"FGFR2","brown",-0.688125611398928,1.26598811374595e-32,0.880592518569314,1.27486809109421e-73
"KRT1","brown",-0.419724642304736,6.27679163519474e-11,0.878832942833194,5.79976530843356e-73
"CALML5","brown",-0.422661109773384,4.47238216783217e-11,0.876593090983352,3.85726121548868e-72
"NEBL","brown",-0.590760415827081,2.26535928602512e-22,0.876536843620735,4.04330255644938e-72
"SFN","brown",-0.440960267471303,5.0186674815529e-12,0.876485521279315,4.22078734031897e-72
"CST6","brown",-0.453426365638718,1.04743812652837e-12,0.874776942706521,1.745044555693e-71
"ZNF750","brown",-0.482776948326998,2.01650913466938e-14,0.874691096696991,1.87300467082026e-71
"CLCA2","brown",-0.383321954701561,3.22490088588244e-09,0.874340367810699,2.49955659653464e-71
"TUBA4A","brown",-0.473018427173045,7.82094263017484e-14,0.873785081082091,3.9401585256702e-71
"LY6G6C","brown",-0.440470417140634,5.33047235006883e-12,0.871945363156188,1.75278338224397e-70
"LORICRIN","brown",-0.453574476996052,1.02772361129994e-12,0.871452817636546,2.60359578900815e-70
"LGALS7","brown",-0.43414948005892,1.15032126888949e-11,0.870857614860212,4.19074568332809e-70
"SPINT2","brown",-0.479284624495271,3.29167934720449e-14,0.870369196274563,6.18239637509374e-70
"FERMT1","brown",-0.510896195781635,3.16090109196902e-16,0.870034972082875,8.05965753614009e-70
"KLK7","brown",-0.418089569869379,7.56982782631056e-11,0.868221738010915,3.35402222311939e-69
"ANK3","brown",-0.54824728010129,6.7569014118526e-19,0.866218030296607,1.58218085406344e-68
"EPHX3","brown",-0.420927666353344,5.46518121593857e-11,0.865567398826843,2.60417426702511e-68
"GPR87","brown",-0.482440849785484,2.11439904357267e-14,0.86511574646397,3.67480505688116e-68
"TUFT1","brown",-0.669594934452599,2.26081382714092e-30,0.862293167417144,3.07481940126668e-67
"S100A14","brown",-0.396029429754426,8.60420652072788e-10,0.860566357428381,1.10203684679917e-66
"CWH43","brown",-0.448760623884937,1.89693389257103e-12,0.860206570700514,1.43471188649807e-66
"ESRP2","brown",-0.450906420203755,1.44516979540628e-12,0.86015441106286,1.49055350801739e-66
"PALMD","brown",-0.533523381270885,8.35267492640285e-18,0.859677201955234,2.11228967171675e-66
"CDSN","brown",-0.416909214947769,8.66043044439945e-11,0.859520444211702,2.36791788144649e-66
"SCEL","brown",-0.53270175392422,9.5765299065364e-18,0.859284520838778,2.81139694350408e-66
"CA12","brown",-0.526073739625204,2.84702767300135e-17,0.859265613003076,2.85030587291964e-66
"LAD1","brown",-0.390843290092956,1.48540058808232e-09,0.85907233057861,3.27990895150648e-66
"LAMA3","brown",-0.484039416556883,1.68682385575159e-14,0.85674037993036,1.755437924857e-65
"ABLIM1","brown",-0.494076462390348,3.97373842467381e-15,0.855852133710084,3.29986412081733e-65
"RAPGEFL1","brown",-0.570358808346887,1.21684581819504e-20,0.855383336092661,4.59648138582162e-65
"COL17A1","brown",-0.507368232563454,5.43809397679753e-16,0.854951269908487,6.2320148959997e-65
"KLF4","brown",-0.56524956290808,3.16204566269383e-20,0.854376694959372,9.32766623695907e-65
"DSG1","brown",-0.404667034841964,3.3927414804117e-10,0.852636489796708,3.1309011178381e-64
